Code,Model,Passengers,
CN35,CASA/IPTN CN-235,0,
CONI,Lockheed L-1049 Super Constellation,0,
CRJ1,Canadair Regional Jet 100,50,
CRJ2,Canadair Regional Jet 200,50,
CRJ7,Canadair Regional Jet 700 | Regional Jet 550,78,
CRJ9,Canadair Regional Jet 900,90,
CRJX,Canadair Regional Jet 1000,104,
CVLP,Convair CV-240 & -440,52,
CVLT,"Convair CV-580, Convair CV-600, Convair CV-640",52,
D228,Dornier 228,19,
D328,Fairchild Dornier Do.328,32,
DA42,Diamond DA42,4,
DA62,Diamond DA62,7,
DC10,Douglas DC-10-10 / -15 Passenger,380,
DC10,Douglas DC-10-30 / -40 Passenger,0,
DC10,Douglas DC-10-30 Combi,0,
DC10,Douglas DC-10-10 Freighter,0,
DC10,Douglas DC-10-30 / -40 Freighter,0,
DC3,Douglas DC-3,32,
DC6,Douglas DC-6,56,
DC85,Douglas DC-8-50,189,
DC86,Douglas DC-8-62,189,
DC87,Douglas DC-8-72,0,
DC91,Douglas DC-9-10,75,
DC92,Douglas DC-9-20,75,
DC93,Douglas DC-9-30,115,
DC94,Douglas DC-9-40,125,
DC95,Douglas DC-9-50,125,
DH2T,De Havilland Canada DHC-2 Turbo-Beaver,6,
DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q,50,
DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q,39,
DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q,56,
DH8D,De Havilland Canada DHC-8-400 Dash 8Q,90,
DHC4,De Havilland Canada DHC-4 Caribou,0,
DHC5,De Havilland Canada DHC-5 Buffalo,0,
DHC6,De Havilland Canada DHC-6 Twin Otter,19,
DHC7,De Havilland Canada DHC-7 Dash 7,50,
DOVE,De Havilland DH.104 Dove,11,
E110,Embraer EMB 110 Bandeirante,18,
E120,Embraer EMB 120 Brasilia,30,
E135,Embraer RJ135,50,
E135,Embraer RJ140,50,
E145,Embraer RJ145,50,
E170,Embraer 170,78,
E190,Embraer 190 / Lineage 1000,114,
E195,Embraer 195,132,
E290,Embraer E190-E2,114,
E295,Embraer E195-E2,146,
E35L,Embraer Legacy 600 / Legacy 650,14,
E50P,Embraer Phenom 100,4,
E545,Embraer Legacy 450 / Praetor 500,9,
E550,Embraer Legacy 500 / Praetor 600,12,
E55P,Embraer Phenom 300,10,
E75L,Embraer 175 (long wing),88,
E75S,Embraer 175 (short wing),88,
EA50,Eclipse 500,0,
EC20,Eurocopter EC120 Colibri / Harbin HC120,0,
EC25,Eurocopter EC225 Super Puma,0,
EC30,Eurocopter EC130,0,
EC35,Eurocopter EC135 / EC635,0,
EC45,Eurocopter EC145,0,
EC55,Eurocopter EC155,0,
EC75,Eurocopter EC175,0,
EXPL,MD Helicopters MD900 Explorer,0,
F100,Fokker 100,109,
F27,Fokker F27 Friendship,52,
F28,Fokker F28 Fellowship,85,
F2TH,Dassault Falcon 2000,19,
F406,Reims-Cessna F406 Caravan II,12,
F50,Fokker 50,50,
F70,Fokker 70,70,
F900,Dassault Falcon 900,19,
FA50,Dassault Falcon 50,19,
FA7X,Dassault Falcon 7X,19,
G159,Gulfstream Aerospace G-159 Gulfstream I,24,
G21,Grumman G-21 Goose,8,
G280,Gulfstream G280,10,
G73T,Grumman G-73 Turbo Mallard,14,
GL5T,Bombardier BD-700 Global 5000,19,
GLEX,Bombardier Global Express / Raytheon Sentinel,19,
GLF4,Gulfstream IV,19,
GLF5,Gulfstream V,19,
GLF6,Gulfstream G650,19,
H25B,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,15,
H25C,British Aerospace 125-1000 series / Hawker/Raytheon 1000,15,
HDJT,Honda HA-420,6,
HERN,De Havilland DH.114 Heron,17,
I114,Ilyushin Il-114,64,
IL18,Ilyushin Il-18,89,
IL62,Ilyushin Il-62,198,
IL76,Ilyushin Il-76,0,
IL86,Ilyushin Il-86,350,
IL96,Ilyushin Il-96,300,
J328,Fairchild Dornier 328JET,35,
JS31,British Aerospace Jetstream 31,19,
JS32,British Aerospace Jetstream 32,20,
JS41,British Aerospace Jetstream 41,29,
JU52,Junkers Ju 52/3M,17,
K35R,Boeing KC-135 Stratotanker,0,
L101,Lockheed L-1011 Tristar,400,
L188,Lockheed L-188 Electra,98,
L410,LET 410,19,
LJ35,Learjet 35 / 36 / C-21A,8,
LJ60,Learjet 60,8,
MD11,McDonnell Douglas MD-11,410,
MD11,McDonnell Douglas MD-11F,0,
MD11,McDonnell Douglas MD-11C,0,
MD81,McDonnell Douglas MD-81,172,
MD82,McDonnell Douglas MD-82,172,
MD83,McDonnell Douglas MD-83,172,
MD87,McDonnell Douglas MD-87,172,
MD88,McDonnell Douglas MD-88,172,
MD90,McDonnell Douglas MD-90,172,
MI24,Mil Mi-24 / Mi-25 / Mi-35,0,
MI8,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172,0,
MU2,Mitsubishi Mu-2,10,
N262,Aerospatiale (Nord) 262,29,
NOMA,Government Aircraft Factories N22B / N24A Nomad,10,
P06T,Tecnam P2006T,5,
P8,Boeing P-8 Poseidon,0,
P180,Piaggio P.180 Avanti,9,
P212,Tecnam P2012 Traveller,11,
P68,Partenavia P.68,8,
PA31,Piper PA-31 Navajo,8,
PA34,Piper PA-34 Seneca,6,
PA44,Piper PA-44 Seminole,5,
PC12,Pilatus PC-12,11,
PC6T,Pilatus PC-6 Turbo Porter,9,
PC24,Pilatus PC-24,11,
RJ1H,Avro RJ100,122,
RJ70,Avro RJ70,85,
RJ85,Avro RJ85,100,
S58T,Sikorsky S-58T,0,
S601,Aerospatiale SN.601 Corvette,8,
S61,Sikorsky S-61,0,
S65C,Eurocopter (Aerospatiale) SA365C Dauphin 2,12,
S76,Sikorsky S-76,8,
S92,Sikorsky S-92,19,
SB20,Saab 2000,50,
SC7,Shorts SC-7 Skyvan,19,
SF34,Saab SF340A/B,37,
SF50,Cirrus SF50 Vision Jet,5,
SH33,Shorts SD.330,30,
SH36,Shorts SD.360,36,
SU95,Sukhoi Superjet 100-95,87,
SW4,Fairchild Swearingen Metroliner,30,
T134,Tupolev Tu-134,72,
T154,Tupolev Tu-154,180,
T204,Tupolev Tu-204 / Tu-214,210,
TBM7,Daher TBM 700,6,
TBM8,Daher TBM 850,6,
TBM9,Daher TBM 900,7,
TBM9,Daher TBM 910,7,
TBM9,Daher TBM 930,7,
TBM9,Daher TBM 940,7,
TBM9,Daher TBM 960,7,
TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander,18,
V22,Bell Boeing V-22 Osprey,0,
WW24,Israel Aircraft Industries 1124 Westwind,10,
Y12,Harbin Y-12,17,
YK40,Yakovlev Yak-40,32,
YK42,Yakovlev Yak-42,120,
YS11,NAMC YS-11,60,
