ident;type;name;continent;iso_country
LPGR;medium_airport;Graciosa Airport;EU;PT
LPHR;medium_airport;Horta Airport;EU;PT
LPLA;medium_airport;Lajes Airport;EU;PT
LPMA;medium_airport;Madeira International Airport Cristiano Ronaldo;EU;PT
LPMR;medium_airport;Monte Real Air Base;EU;PT
LPMT;medium_airport;Montijo Air Base;EU;PT
LPOV;medium_airport;Ovar Air Base;EU;PT
LPPD;large_airport;João Paulo II Airport;EU;PT
LPPI;medium_airport;Pico Airport;EU;PT
LPPM;medium_airport;Portimão Airport;EU;PT
LPPR;large_airport;Francisco de Sá Carneiro Airport;EU;PT
LPPS;medium_airport;Porto Santo Airport;EU;PT
LPPT;large_airport;Humberto Delgado Airport (Lisbon Portela Airport);EU;PT
LPSJ;medium_airport;São Jorge Airport;EU;PT
LPSO;medium_airport;Aeródromo Municipal de Ponte de Sor;EU;PT
LPST;medium_airport;Sintra Air Base;EU;PT
LPTN;medium_airport;Tancos Airbase;EU;PT
LPVL;medium_airport;Vilar de Luz Airfield;EU;PT
LPVR;medium_airport;Vila Real Airport;EU;PT
LPVZ;medium_airport;Aerodromo Goncalves Lobato (Viseu Airport);EU;PT
LQBK;medium_airport;Banja Luka International Airport;EU;BA
LQMO;medium_airport;Mostar International Airport;EU;BA
LQSA;medium_airport;Sarajevo International Airport;EU;BA
LQTZ;medium_airport;Tuzla International Airport;EU;BA
LR79;medium_airport;Ianca Air Base;EU;RO
LR80;medium_airport;Feteşti Air Base;EU;RO
LR82;medium_airport;Boboc Air Base;EU;RO
LRAR;medium_airport;Arad International Airport;EU;RO
LRBC;medium_airport;Bacău Airport;EU;RO
LRBM;medium_airport;Maramureș International Airport;EU;RO
LRBS;medium_airport;Băneasa International Airport;EU;RO
LRCK;medium_airport;Mihail Kogălniceanu International Airport;EU;RO
LRCL;medium_airport;Cluj-Napoca International Airport;EU;RO
LRCS;medium_airport;Caransebeş Airport;EU;RO
LRCT;medium_airport;Câmpia Turzii Air Base;EU;RO
LRCV;medium_airport;Craiova Airport;EU;RO
LRIA;medium_airport;Iaşi Airport;EU;RO
LROD;medium_airport;Oradea International Airport;EU;RO
LROP;large_airport;Henri Coandă International Airport;EU;RO
LROV;medium_airport;Brașov-Ghimbav International Airport (U.C.);EU;RO
LRSB;medium_airport;Sibiu International Airport;EU;RO
LRSM;medium_airport;Satu Mare Airport;EU;RO
LRSV;medium_airport;Suceava Stefan cel Mare Airport;EU;RO
LRTC;medium_airport;Tulcea Danube Delta Airport;EU;RO
LRTM;medium_airport;Transilvania Târgu Mureş International Airport;EU;RO
LRTR;medium_airport;Timişoara Traian Vuia Airport;EU;RO
LSGC;medium_airport;Les Eplatures Airport;EU;CH
LSGG;large_airport;Geneva Cointrin International Airport;EU;CH
LSGS;medium_airport;Sion Airport;EU;CH
LSMA;medium_airport;Alpnach Air Base;EU;CH
LSMD;medium_airport;Dübendorf Air Base;EU;CH
LSME;medium_airport;Emmen Air Base;EU;CH
LSMP;medium_airport;Payerne Air Base;EU;CH
LSZA;medium_airport;Lugano Airport;EU;CH
LSZB;medium_airport;Bern-Belp Airport;EU;CH
LSZG;medium_airport;Grenchen Airport;EU;CH
LSZH;large_airport;Zürich Airport;EU;CH
LSZR;medium_airport;St Gallen Altenrhein Airport;EU;CH
LSZS;medium_airport;Samedan Airport;EU;CH
LTBA;large_airport;İstanbul Atatürk Airport;EU;TR
LTBU;medium_airport;Tekirdağ Çorlu Airport;EU;TR
LTFM;large_airport;İstanbul Airport;EU;TR
LUBL;medium_airport;Bălți International Airport;EU;MD
LUBM;medium_airport;Mărculeşti International Airport;EU;MD
LUCH;medium_airport;Cahul International Airport;EU;MD
LUKK;medium_airport;Chişinău International Airport;EU;MD
LUTR;medium_airport;Tiraspol Airport;EU;MD
LWOH;medium_airport;Ohrid St. Paul the Apostle Airport;EU;MK
LWSK;large_airport;Skopje International Airport;EU;MK
LXGB;medium_airport;Gibraltar Airport;EU;GI
LY88;medium_airport;Ponikve Airport;EU;RS
LYBE;large_airport;Belgrade Nikola Tesla Airport;EU;RS
LYBT;medium_airport;Batajnica Air Base;EU;RS
LYKV;medium_airport;Morava Airport;EU;RS
LYNI;medium_airport;Nis Airport;EU;RS
LYPG;large_airport;Podgorica Airport / Podgorica Golubovci Airbase;EU;ME
LYTV;medium_airport;Tivat Airport;EU;ME
LZIB;large_airport;M. R. Štefánik Airport;EU;SK
LZKZ;medium_airport;Košice Airport;EU;SK
LZMC;medium_airport;Kuchyňa Air Base;EU;SK
LZPP;medium_airport;Piešťany Airport;EU;SK
LZSL;medium_airport;Sliač Airport;EU;SK
LZTT;medium_airport;Poprad-Tatry Airport;EU;SK
LZZI;medium_airport;Žilina Airport;EU;SK
RU-0001;medium_airport;Levashovo Air Base;EU;RU
RU-0010;medium_airport;Balashov Air Base;EU;RU
RU-0014;medium_airport;Borisoglebsk Air Base;EU;RU
RU-0015;medium_airport;Khotilovo Air Base;EU;RU
RU-0016;large_airport;Lipetsk Air Base;EU;RU
RU-0018;medium_airport;Buturlinovka Air Base;EU;RU
RU-0028;medium_airport;Kaliningrad Chkalovsk Naval Air Base;EU;RU
RU-0035;medium_airport;Grozny Airport;EU;RU
RU-0043;medium_airport;Mius Airport;EU;RU
RU-0060;medium_airport;Chernyakhovsk Naval Air Base;EU;RU
RU-0064;medium_airport;Ostrov Naval Air Base;EU;RU
RU-0065;medium_airport;Pribylovo Naval Air Base;EU;RU
RU-0089;medium_airport;Krymsk Air Base;EU;RU
RU-0090;medium_airport;Krasnodar Central Air Base;EU;RU
RU-0098;medium_airport;Oktyabrskiy Air Base;EU;RU
RU-0128;medium_airport;Budyonnovsk Air Base;EU;RU
RU-0152;medium_airport;Mozdok Air Base;EU;RU
RU-0189;medium_airport;Kostomuksha Airport;EU;RU
RU-0211;medium_airport;Taganrog Tsentralny Air Base;EU;RU
RU-0217;medium_airport;Sormovo Airfield;EU;RU
RU-0240;medium_airport;Seshcha Air Base;EU;RU
RU-0282;medium_airport;Millerovo Air Base;EU;RU
RU-0327;medium_airport;Vozdvizhenka Air Base;EU;RU
RU-0372;medium_airport;Rostov-on-Don Central Air Base;EU;RU
RU-0764;medium_airport;Kubinka Air Base;EU;RU
RU-3686;medium_airport;Oreshkovo;EU;RU
RU-4339;medium_airport;Tambov Air Base;EU;RU
RU-4464;medium_airport;Olenya Air Base;EU;RU
RU-4609;medium_airport;Shatalovo Air Base;EU;RU
RU-5376;medium_airport;Smuravyovo Air Base;EU;RU
RU-5672;medium_airport;Ivanovo North Air Base;EU;RU
RU-6558;medium_airport;Lyambir Air Base;EU;RU
RU-6687;medium_airport;Michurinsk Air Base;EU;RU
RU-8363;medium_airport;Voronezh Baltimor Air Base;EU;RU
RU-8709;medium_airport;Dorokhovo Air Base;EU;RU
RU-9345;medium_airport;Krechevitsy Air Base;EU;RU
RU-9937;medium_airport;Rzhev Air Base;EU;RU
RU-9942;medium_airport;Shaykovka Air Base;EU;RU
TR-0028;medium_airport;Keşan Air Base;EU;TR
UA-0005;medium_airport;Nizhyn Air Base;EU;UA
UA-0010;medium_airport;Oktyabrskoe Air Base;EU;UA
UA-0012;medium_airport;Kirovskoe Air Base;EU;UA
UA-0020;medium_airport;Melitopol Air Base;EU;UA
UA-0022;medium_airport;Kacha Air Base;EU;UA
UA-0025;medium_airport;Bila Tserkva Air Base;EU;UA
UA-0028;medium_airport;Zhovtneve Air Base;EU;UA
UATG;medium_airport;Atyrau International Airport;EU;KZ
UEMA;medium_airport;Moma Airport;EU;RU
UEMO;medium_airport;Olyokminsk Airport;EU;RU
UEMT;medium_airport;Ust-Nera Airport;EU;RU
UERS;medium_airport;Saskylakh Airport;EU;RU
UESG;medium_airport;Belaya Gora Airport;EU;RU
UESK;medium_airport;Srednekolymsk Airport;EU;RU
UHMD;medium_airport;Provideniya Bay Airport;EU;RU
UHMF;medium_airport;Omsukchan Airport;EU;RU
UHMP;medium_airport;Pevek Airport;EU;RU
UHMW;medium_airport;Severo-Evensk Airport;EU;RU
UHPL;medium_airport;Palana Airport;EU;RU
UHSS;medium_airport;Yuzhno-Sakhalinsk Airport;EU;RU
UHWW;large_airport;Vladivostok International Airport;EU;RU
UIAA;medium_airport;Chita-Kadala International Airport;EU;RU
UIII;medium_airport;Irkutsk International Airport;EU;RU
UIUU;medium_airport;Baikal International Airport;EU;RU
UKBB;large_airport;Boryspil International Airport;EU;UA
UKCM;medium_airport;Mariupol International Airport;EU;UA
UKDD;medium_airport;Dnipro International Airport;EU;UA
UKDE;medium_airport;Zaporizhzhia International Airport;EU;UA
UKDR;medium_airport;Kryvyi Rih International Airport;EU;UA
UKFB;medium_airport;Sevastopol International Airport / Belbek Air Base;EU;UA
UKFF;medium_airport;Simferopol International Airport;EU;UA
UKFG;medium_airport;Gvardeyskoe Air Base;EU;UA
UKFI;medium_airport;Saky Air Base;EU;UA
UKFY;medium_airport;Dzhankoy Airport;EU;UA
UKHH;medium_airport;Kharkiv International Airport;EU;UA
UKKE;medium_airport;Cherkasy International Airport;EU;UA
UKKK;medium_airport;Ihor Sikorsky Kyiv International Airport (Zhuliany);EU;UA
UKKM;medium_airport;Hostomel Airport;EU;UA
UKKO;medium_airport;Ozerne Air Base;EU;UA
UKLH;medium_airport;Khmelnytskyi Airport;EU;UA
UKLI;medium_airport;Ivano-Frankivsk International Airport;EU;UA
UKLL;large_airport;Lviv International Airport;EU;UA
UKLN;medium_airport;Chernivtsi International Airport;EU;UA
UKLR;medium_airport;Rivne International Airport;EU;UA
UKLU;medium_airport;Uzhhorod International Airport;EU;UA
UKOH;medium_airport;Kherson International Airport;EU;UA
UKON;medium_airport;Mykolaiv International Airport;EU;UA
UKOO;medium_airport;Odessa International Airport;EU;UA
UKWW;medium_airport;Vinnytsia/Gavyryshivka International Airport;EU;UA
ULAA;medium_airport;Talagi Airport;EU;RU
ULAH;medium_airport;Vaskovo Airport;EU;RU
ULAK;medium_airport;Severomorsk-1 Naval Air Base;EU;RU
ULBC;medium_airport;Cherepovets Airport;EU;RU
ULKK;medium_airport;Kotlas Airport;EU;RU
ULLI;large_airport;Pulkovo Airport;EU;RU
ULLP;medium_airport;Pushkin Airport;EU;RU
ULMM;medium_airport;Murmansk Airport;EU;RU
ULNR;medium_airport;Staraya Russa Air Base;EU;RU
ULOO;medium_airport;Pskov Airport;EU;RU
ULPB;medium_airport;Petrozavodsk Airport;EU;RU
ULPP;medium_airport;Peski Airport;EU;RU
ULWW;medium_airport;Vologda Airport;EU;RU
UMBB;medium_airport;Brest Airport;EU;BY
UMGG;medium_airport;Gomel Airport;EU;BY
UMII;medium_airport;Vitebsk Vostochny Airport;EU;BY
UMKK;medium_airport;Khrabrovo Airport;EU;RU
UMMA;medium_airport;Baranavichi Air Base;EU;BY
UMMG;medium_airport;Hrodna Airport;EU;BY
UMMS;large_airport;Minsk National Airport;EU;BY
UMNB;medium_airport;Babruisk Air Base;EU;BY
UMOO;medium_airport;Mogilev Airport;EU;BY
UNAA;medium_airport;Abakan International Airport;EU;RU
UNBG;medium_airport;Gorno-Altaysk Airport;EU;RU
UNIP;medium_airport;Podkamennaya Tunguska Airport;EU;RU
UNKL;large_airport;Krasnoyarsk International Airport;EU;RU
UNKS;medium_airport;Achinsk Airport;EU;RU
UNNT;large_airport;Novosibirsk Tolmachevo Airport;EU;RU
UNWW;medium_airport;Spichenkovo Airport;EU;RU
UODN;medium_airport;Nagurskoye;EU;RU
URKA;medium_airport;Anapa Vityazevo Airport;EU;RU
URKE;medium_airport;Yeysk Airport;EU;RU
URKG;medium_airport;Gelendzhik Airport;EU;RU
URKH;medium_airport;Khanskaya Air Base;EU;RU
URKK;medium_airport;Krasnodar Pashkovsky International Airport;EU;RU
URMG;medium_airport;Khankala Air Base;EU;RU
URML;medium_airport;Makhachkala Uytash International Airport;EU;RU
URMM;medium_airport;Mineralnyye Vody Airport;EU;RU
URMN;medium_airport;Nalchik Airport;EU;RU
URMO;medium_airport;Vladikavkaz Beslan International Airport;EU;RU
URMT;medium_airport;Stavropol Shpakovskoye Airport;EU;RU
URRP;large_airport;Platov International Airport;EU;RU
URRT;medium_airport;Taganrog Yuzhny Airport;EU;RU
URSS;large_airport;Sochi International Airport;EU;RU
URWI;medium_airport;Elista Airport;EU;RU
URWW;medium_airport;Volgograd International Airport;EU;RU
USCC;medium_airport;Chelyabinsk Balandino Airport;EU;RU
USCM;medium_airport;Magnitogorsk International Airport;EU;RU
USHN;medium_airport;Nyagan Airport;EU;RU
USHY;medium_airport;Beloyarskiy Airport;EU;RU
USII;medium_airport;Izhevsk Airport;EU;RU
USKK;medium_airport;Pobedilovo Airport;EU;RU
USPP;medium_airport;Perm International Airport;EU;RU
UUBA;medium_airport;Kostroma Sokerkino Airport;EU;RU
UUBC;medium_airport;Grabtsevo Airport;EU;RU
UUBD;medium_airport;Dyagilevo Air Base;EU;RU
UUBI;medium_airport;Ivanovo South Airport;EU;RU
UUBK;medium_airport;Staroselye Airport;EU;RU
UUBL;medium_airport;Semyazino Airport;EU;RU
UUBM;medium_airport;Myachkovo Airport;EU;RU
UUBP;medium_airport;Bryansk Airport;EU;RU
UUBW;large_airport;Zhukovsky International Airport;EU;RU
UUDD;large_airport;Domodedovo International Airport;EU;RU
UUEE;large_airport;Sheremetyevo International Airport;EU;RU
UUEM;medium_airport;Migalovo Air Base;EU;RU
UUMO;medium_airport;Ostafyevo International Airport;EU;RU
UUMT;medium_airport;Tretyakovo Airport;EU;RU
UUMU;medium_airport;Chkalovskiy Air Base;EU;RU
UUOB;medium_airport;Belgorod International Airport;EU;RU
UUOK;medium_airport;Kursk East Airport;EU;RU
UUOL;medium_airport;Lipetsk Airport;EU;RU
UUOO;medium_airport;Voronezh International Airport;EU;RU
UUOT;medium_airport;Donskoye Airport;EU;RU
UUWE;medium_airport;Yermolino Air Base;EU;RU
UUWW;large_airport;Vnukovo International Airport;EU;RU
UUYI;medium_airport;Inta Airport;EU;RU
UUYY;medium_airport;Syktyvkar Airport;EU;RU
UWGG;medium_airport;Nizhny Novgorod Strigino International Airport;EU;RU
UWKD;large_airport;Kazan International Airport;EU;RU
UWKE;medium_airport;Begishevo Airport;EU;RU
UWKJ;medium_airport;Yoshkar-Ola Airport;EU;RU
UWKS;medium_airport;Cheboksary Airport;EU;RU
UWLL;medium_airport;Ulyanovsk Baratayevka Airport;EU;RU
UWLW;medium_airport;Ulyanovsk East Airport;EU;RU
UWOO;medium_airport;Orenburg Central Airport;EU;RU
UWPP;medium_airport;Penza Airport;EU;RU
UWPS;medium_airport;Saransk Airport;EU;RU
UWSG;large_airport;Gagarin International Airport;EU;RU
UWUU;large_airport;Ufa International Airport;EU;RU
UWWW;large_airport;Kurumoch International Airport;EU;RU
XK-0001;medium_airport;KFOR Base Airfield;EU;XK
XLLL;medium_airport;Soltsy-2 Air Base;EU;RU
XLMV;medium_airport;Severomorsk-3 Naval Air Base;EU;RU
XLWF;medium_airport;Fedotovo Naval Air Base;EU;RU
XUBS;medium_airport;Smolensk North Airport;EU;RU
XWPR;medium_airport;Rtishchevo Air Base;EU;RU
