origin;destination;year;month;avg_time_difference;count;;;;;;
EHLW;EBBR;2022;3;2134.0;1;;;;;;
EHAM;EGGW;2022;3;30.315.454.545.454.500;176;;;;;;
EHEH;ETNG;2022;3;783.0;1;;;;;;
EHGG;EDWN;2022;3;1976.0;1;;;;;;
EHGG;EHDR;2022;3;9.268.333.333.333.330;6;;;;;;
EHWO;ENGM;2022;3;5790.0;2;;;;;;
EHEH;EGUL;2022;3;4296.0;1;;;;;;
EHVK;EHTE;2022;3;5916.0;1;;;;;;
EHEH;LFPB;2022;3;31.081.428.571.428.500;7;;;;;;
EHAM;EGHI;2022;3;32.407.619.047.619.000;21;;;;;;
EHAM;EGKR;2022;3;27.511.111.111.111.100;9;;;;;;
EHRD;LEIB;2022;3;7682.0;3;;;;;;
EHDB;EHVK;2022;3;1048.75;8;;;;;;
EHEH;LERS;2022;3;6647.0;3;;;;;;
EHAM;EDDH;2022;3;2.600.358.778.625.950;131;;;;;;
EHEH;EDDS;2022;3;2568.0;1;;;;;;
EHOW;EHST;2022;3;942.5;2;;;;;;
EHTX;EHSE;2022;3;3869.25;4;;;;;;
EHTW;EDLV;2022;3;2226.0;1;;;;;;
EHGG;EDDN;2022;3;5943.0;2;;;;;;
EHAM;EDTX;2022;3;2605.0;1;;;;;;
EHAM;EGBB;2022;3;3.112.353.448.275.860;116;;;;;;
EHAM;LPMA;2022;3;13.502.666.666.666.600;15;;;;;;
EHGG;EBAW;2022;3;3479.0;3;;;;;;
EHRD;LPPT;2022;3;9.265.875;8;;;;;;
EHRD;EDDB;2022;3;3636.75;4;;;;;;
EHDR;EHTW;2022;3;2545.0;1;;;;;;
EHEH;LFMY;2022;3;4698.0;5;;;;;;
EHEH;EPMO;2022;3;5.537.882.352.941.170;17;;;;;;
EHMZ;EBGB;2022;3;2386.8;5;;;;;;
EHKD;EDWI;2022;3;3713.0;3;;;;;;
EHEH;EDAZ;2022;3;3438.0;1;;;;;;
EHGG;LSZH;2022;3;3179.0;1;;;;;;
EHKD;EBBY;2022;3;5347.0;1;;;;;;
