origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LGKO,11277,B738,2022-09-01T05:14:25.000+02:00,20220901_20220930,false,""
EHAM,LGSM,10386,B738,2022-09-01T05:24:04.000+02:00,20220901_20220930,false,""
EHAM,LEIB,8101,B738,2022-09-01T05:47:18.000+02:00,20220901_20220930,false,""
EHAM,LEBL,6543,B737,2022-09-01T06:13:54.000+02:00,20220901_20220930,false,""
EHAM,LPMA,14791,B738,2022-09-01T06:40:47.000+02:00,20220901_20220930,false,""
EHAM,LIBD,7460,B738,2022-09-01T06:46:50.000+02:00,20220901_20220930,false,""
EHAM,LGMK,10262,B738,2022-09-01T06:49:56.000+02:00,20220901_20220930,false,""
EHAM,LFPG,2883,B738,2022-09-01T06:52:24.000+02:00,20220901_20220930,false,""
EHAM,LJLJ,5020,B738,2022-09-01T06:58:42.000+02:00,20220901_20220930,false,""
EHAM,EBBR,1589,E190,2022-09-01T06:58:48.000+02:00,20220901_20220930,false,""
EHAM,ESSA,5980,B738,2022-09-01T07:00:49.000+02:00,20220901_20220930,false,""
EHRD,LIRF,6305,B737,2022-09-01T07:01:04.000+02:00,20220901_20220930,false,""
EHAM,LIPX,4619,B738,2022-09-01T07:01:59.000+02:00,20220901_20220930,false,""
EHAM,EDDL,1688,E190,2022-09-01T07:03:05.000+02:00,20220901_20220930,false,""
EHAM,LKPR,4271,E75L,2022-09-01T07:04:33.000+02:00,20220901_20220930,false,""
EHAM,LEAL,8160,B738,2022-09-01T07:05:57.000+02:00,20220901_20220930,false,""
EHAM,LOWW,5323,B738,2022-09-01T07:07:05.000+02:00,20220901_20220930,false,""
EHAM,EDDH,2502,E75L,2022-09-01T07:07:54.000+02:00,20220901_20220930,false,""
EHRD,EGLC,2204,E190,2022-09-01T07:09:45.000+02:00,20220901_20220930,false,""
EHAM,LSGG,3866,E75L,2022-09-01T07:12:45.000+02:00,20220901_20220930,false,""
EHEH,LEPA,6849,B738,2022-09-01T07:13:08.000+02:00,20220901_20220930,false,""
EHAM,EFHK,7496,E190,2022-09-01T07:15:03.000+02:00,20220901_20220930,false,""
EHAM,LEMG,9399,B738,2022-09-01T07:15:17.000+02:00,20220901_20220930,false,""
EHAM,ENGM,5137,E75L,2022-09-01T07:16:37.000+02:00,20220901_20220930,false,""
EHEH,LEBL,6128,B738,2022-09-01T07:19:38.000+02:00,20220901_20220930,false,""
EHAM,EGLC,2594,E190,2022-09-01T07:23:39.000+02:00,20220901_20220930,false,""
EHAM,LEMD,7337,B738,2022-09-01T07:23:52.000+02:00,20220901_20220930,false,""
EHAM,LPPT,9843,A319,2022-09-01T07:24:25.000+02:00,20220901_20220930,false,""
EHAM,LIRF,6494,B738,2022-09-01T07:26:45.000+02:00,20220901_20220930,false,""
EHAM,EPWA,5977,E75S,2022-09-01T07:27:48.000+02:00,20220901_20220930,false,""
EHAM,EGLC,2469,E190,2022-09-01T07:30:49.000+02:00,20220901_20220930,false,""
EHAM,EDDM,3385,B738,2022-09-01T07:31:44.000+02:00,20220901_20220930,false,""
EHAM,EKCH,3384,B739,2022-09-01T07:32:23.000+02:00,20220901_20220930,false,""
EHAM,LEMD,7800,A320,2022-09-01T07:34:23.000+02:00,20220901_20220930,false,""
EHAM,LEBL,6339,A320,2022-09-01T07:35:48.000+02:00,20220901_20220930,false,""
EHAM,EKCH,3591,A319,2022-09-01T07:40:36.000+02:00,20220901_20220930,false,""
EHEH,LEAL,7860,B738,2022-09-01T07:45:48.000+02:00,20220901_20220930,false,""
EHAM,LKPR,3892,A319,2022-09-01T07:46:56.000+02:00,20220901_20220930,false,""
EHAM,LGKO,11185,B738,2022-09-01T07:49:03.000+02:00,20220901_20220930,false,""
EHAM,LEAL,8088,A20N,2022-09-01T07:50:10.000+02:00,20220901_20220930,false,""
EHAM,EGLL,2713,B738,2022-09-01T07:53:03.000+02:00,20220901_20220930,false,""
EHAM,ESGG,4308,E75L,2022-09-01T07:58:41.000+02:00,20220901_20220930,false,""
EHRD,LEMG,8980,B738,2022-09-01T07:59:11.000+02:00,20220901_20220930,false,""
EHAM,LFKP,4121,E75L,2022-09-01T08:00:33.000+02:00,20220901_20220930,false,""
EHRD,LPFR,10288,B737,2022-09-01T08:01:18.000+02:00,20220901_20220930,false,""
EHAM,EIDW,4658,E75L,2022-09-01T08:04:51.000+02:00,20220901_20220930,false,""
EHEH,LEZL,8845,B738,2022-09-01T08:05:20.000+02:00,20220901_20220930,false,""
EHAM,LEMG,9499,A319,2022-09-01T08:13:58.000+02:00,20220901_20220930,false,""
EHAM,EDDH,2542,A319,2022-09-01T08:17:36.000+02:00,20220901_20220930,false,""
EHAM,EGCC,3800,E75L,2022-09-01T08:19:09.000+02:00,20220901_20220930,false,""
EHAM,EGPH,4616,B739,2022-09-01T08:21:03.000+02:00,20220901_20220930,false,""
EHAM,LFPG,2977,B739,2022-09-01T08:24:52.000+02:00,20220901_20220930,false,""
EHAM,EGLC,2381,E190,2022-09-01T08:25:32.000+02:00,20220901_20220930,false,""
EHAM,EGPD,3728,E190,2022-09-01T08:31:34.000+02:00,20220901_20220930,false,""
EHAM,LEBL,6054,B738,2022-09-01T08:34:53.000+02:00,20220901_20220930,false,""
EHAM,EKBI,2894,E190,2022-09-01T08:36:42.000+02:00,20220901_20220930,false,""
EHAM,ENBR,4409,B738,2022-09-01T08:38:12.000+02:00,20220901_20220930,false,""
EHAM,LIML,4675,B738,2022-09-01T08:39:55.000+02:00,20220901_20220930,false,""
EHAM,EGGD,3586,E75L,2022-09-01T08:42:51.000+02:00,20220901_20220930,false,""
EHAM,EGNV,2743,E75L,2022-09-01T08:45:16.000+02:00,20220901_20220930,false,""
EHAM,EKYT,3500,E190,2022-09-01T08:49:51.000+02:00,20220901_20220930,false,""
EHAM,EGBB,2833,E190,2022-09-01T08:51:04.000+02:00,20220901_20220930,false,""
EHAM,LFST,3208,E145,2022-09-01T08:52:01.000+02:00,20220901_20220930,false,""
EHAM,EGGW,2727,A320,2022-09-01T08:59:14.000+02:00,20220901_20220930,false,""
EHAM,ESSA,6327,B737,2022-09-01T08:59:32.000+02:00,20220901_20220930,false,""
EHAM,EGKK,3128,A319,2022-09-01T09:03:03.000+02:00,20220901_20220930,false,""
EHAM,EDDW,1960,E190,2022-09-01T09:04:17.000+02:00,20220901_20220930,false,""
EHEH,EPRJ,6024,A320,2022-09-01T09:05:47.000+02:00,20220901_20220930,false,""
EHAM,EGLL,3086,B738,2022-09-01T09:06:18.000+02:00,20220901_20220930,false,""
EHEH,LGRP,11307,B738,2022-09-01T09:09:37.000+02:00,20220901_20220930,false,""
EHEH,EGSS,2673,B738,2022-09-01T09:11:23.000+02:00,20220901_20220930,false,""
EHAM,LHBP,5841,B738,2022-09-01T09:14:08.000+02:00,20220901_20220930,false,""
EHAM,ELLX,2310,E190,2022-09-01T09:17:05.000+02:00,20220901_20220930,false,""
EHAM,EGGP,3379,A319,2022-09-01T09:19:40.000+02:00,20220901_20220930,false,""
EHAM,EDDM,3693,CRJ9,2022-09-01T09:24:40.000+02:00,20220901_20220930,false,""
EHAM,EGSH,1764,E75L,2022-09-01T09:25:26.000+02:00,20220901_20220930,false,""
EHEH,EPLR,5601,A321,2022-09-01T09:29:31.000+02:00,20220901_20220930,false,""
EHAM,LIMC,4600,B748,2022-09-01T09:31:07.000+02:00,20220901_20220930,false,""
EHEH,LEIB,7681,B738,2022-09-01T09:32:22.000+02:00,20220901_20220930,false,""
EHAM,EBBR,1609,E190,2022-09-01T09:35:37.000+02:00,20220901_20220930,false,""
EHAM,LIPZ,5311,B738,2022-09-01T09:38:48.000+02:00,20220901_20220930,false,""
EHAM,LIMF,5018,E75L,2022-09-01T09:41:38.000+02:00,20220901_20220930,false,""
