origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,EDDF,89145,B77L,2019-07-31T18:26:04.000+02:00,20190801_20190831,false,""
EHAM,LEBL,6342,B738,2019-08-01T05:38:17.000+02:00,20190801_20190831,false,""
EHAM,LIEO,6331,B738,2019-08-01T06:14:54.000+02:00,20190801_20190831,false,""
EHAM,LEAL,8392,B738,2019-08-01T06:16:07.000+02:00,20190801_20190831,false,""
EHBK,LGKO,10253,B738,2019-08-01T06:35:59.000+02:00,20190801_20190831,false,""
EHAM,LGKC,9608,B737,2019-08-01T06:38:29.000+02:00,20190801_20190831,false,""
EHAM,LJLJ,4999,B737,2019-08-01T06:39:53.000+02:00,20190801_20190831,false,""
EHAM,ESSA,5767,B738,2019-08-01T06:59:16.000+02:00,20190801_20190831,false,""
EHAM,EDDH,2652,E75L,2019-08-01T07:01:47.000+02:00,20190801_20190831,false,""
EHAM,LOWW,4830,B738,2019-08-01T07:02:17.000+02:00,20190801_20190831,false,""
EHAM,EDDL,1493,E75L,2019-08-01T07:04:23.000+02:00,20190801_20190831,false,""
EHAM,EDDT,3311,B737,2019-08-01T07:05:41.000+02:00,20190801_20190831,false,""
EHRD,LIRF,6293,B737,2019-08-01T07:06:15.000+02:00,20190801_20190831,false,""
EHAM,LKVO,3527,E190,2019-08-01T07:07:09.000+02:00,20190801_20190831,false,""
EHAM,LGIR,10755,B738,2019-08-01T07:07:32.000+02:00,20190801_20190831,false,""
EHEH,LEAL,8022,B738,2019-08-01T07:08:29.000+02:00,20190801_20190831,false,""
EHAM,LSZH,3565,A320,2019-08-01T07:09:33.000+02:00,20190801_20190831,false,""
EHEH,LDRG,4301,B737,2019-08-01T07:10:16.000+02:00,20190801_20190831,false,""
EHAM,LSGG,3979,E190,2019-08-01T07:11:06.000+02:00,20190801_20190831,false,""
EHAM,LIPX,4551,B738,2019-08-01T07:11:48.000+02:00,20190801_20190831,false,""
EHAM,LIMC,4541,A320,2019-08-01T07:14:18.000+02:00,20190801_20190831,false,""
EHRD,LEBL,7734,B737,2019-08-01T07:16:03.000+02:00,20190801_20190831,false,""
EHAM,EGLC,2707,E170,2019-08-01T07:16:58.000+02:00,20190801_20190831,false,""
EHAM,LOWW,5342,A319,2019-08-01T07:18:35.000+02:00,20190801_20190831,false,""
EHAM,LGKO,10765,B738,2019-08-01T07:21:03.000+02:00,20190801_20190831,false,""
EHAM,EGPH,3600,B737,2019-08-01T07:23:27.000+02:00,20190801_20190831,false,""
EHAM,LEMD,7361,B738,2019-08-01T07:26:38.000+02:00,20190801_20190831,false,""
EHAM,LIRF,6238,B739,2019-08-01T07:27:48.000+02:00,20190801_20190831,false,""
EHAM,LFPG,2622,B737,2019-08-01T07:28:33.000+02:00,20190801_20190831,false,""
EHAM,EGLL,2554,B738,2019-08-01T07:30:16.000+02:00,20190801_20190831,false,""
EHAM,LEBL,7214,A320,2019-08-01T07:32:04.000+02:00,20190801_20190831,false,""
