origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LEBL,6690,B738,2019-05-01T06:00:26.000+02:00,20190501_20190531,false,""
EHAM,LEAL,8462,B738,2019-05-01T06:06:14.000+02:00,20190501_20190531,false,""
EHAM,LPFR,10220,B738,2019-05-01T06:10:46.000+02:00,20190501_20190531,false,""
EHBK,LGRP,11250,B738,2019-05-01T06:15:53.000+02:00,20190501_20190531,false,""
EHAM,LGIR,12584,B738,2019-05-01T06:38:00.000+02:00,20190501_20190531,false,""
EHAM,LGIR,11848,B738,2019-05-01T06:44:58.000+02:00,20190501_20190531,false,""
EHAM,LILQ,5008,B738,2019-05-01T06:53:19.000+02:00,20190501_20190531,false,""
EHAM,ESSA,6241,B738,2019-05-01T06:56:20.000+02:00,20190501_20190531,false,""
EHAM,LFPG,3599,B738,2019-05-01T07:01:21.000+02:00,20190501_20190531,false,""
EHAM,LEZL,9104,B738,2019-05-01T07:04:20.000+02:00,20190501_20190531,false,""
EHRD,LEBL,6058,B737,2019-05-01T07:09:28.000+02:00,20190501_20190531,false,""
EHAM,LIEO,6218,B738,2019-05-01T07:10:46.000+02:00,20190501_20190531,false,""
EHAM,LIML,4959,A319,2019-05-01T07:11:10.000+02:00,20190501_20190531,false,""
EHAM,EDDL,1881,E75L,2019-05-01T07:12:14.000+02:00,20190501_20190531,false,""
EHAM,LOWW,5742,E190,2019-05-01T07:13:17.000+02:00,20190501_20190531,false,""
EHRD,LPFR,9582,B738,2019-05-01T07:16:08.000+02:00,20190501_20190531,false,""
EHAM,LEMD,7159,B738,2019-05-01T07:16:19.000+02:00,20190501_20190531,false,""
EHAM,EDDT,4016,B737,2019-05-01T07:16:25.000+02:00,20190501_20190531,false,""
EHEH,LEAL,7556,B738,2019-05-01T07:17:13.000+02:00,20190501_20190531,false,""
EHEH,LPFR,9495,B738,2019-05-01T07:22:44.000+02:00,20190501_20190531,false,""
EHAM,LPPT,9273,A319,2019-05-01T07:26:54.000+02:00,20190501_20190531,false,""
