origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LFPG,3043,B738,2021-03-01T07:01:51.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LFPG,3112,B737,2021-03-01T08:01:37.000+01:00,20210301_20210331,true,Tweede lockdown:
EHEH,EKKA,3991,B738,2021-03-01T09:11:00.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EHGG,1584,B738,2021-03-01T09:14:58.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LPFR,9604,B738,2021-03-01T09:18:12.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,ELLX,2516,E75L,2021-03-01T09:22:37.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EHGG,1425,B738,2021-03-01T09:29:08.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LROP,8547,B737,2021-03-01T09:31:50.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LSZM,3877,E75L,2021-03-01T09:32:49.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LPPR,8114,E190,2021-03-01T09:33:00.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LSGG,3953,E75L,2021-03-01T09:35:33.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LKPR,3950,E190,2021-03-01T09:36:30.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EBBR,1663,E190,2021-03-01T09:37:32.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LIMF,5182,E75L,2021-03-01T09:38:33.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LFHS,4076,E75L,2021-03-01T09:41:03.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EDDM,3817,E75L,2021-03-01T09:42:22.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LFPG,3026,A319,2021-03-01T09:46:30.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LSZH,3363,B738,2021-03-01T09:48:04.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EFHK,7516,B737,2021-03-01T09:48:39.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EHGG,1402,B738,2021-03-01T09:50:13.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LEMG,9286,B738,2021-03-01T09:51:37.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EPLE,4221,E75L,2021-03-01T09:52:07.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EDDB,3911,E75L,2021-03-01T09:56:00.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,EPPO,5034,E75L,2021-03-01T10:00:03.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LEMD,7443,B737,2021-03-01T10:01:10.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LDZA,5627,E190,2021-03-01T10:01:40.000+01:00,20210301_20210331,true,Tweede lockdown:
EHAM,LEAL,8401,B738,2021-03-01T10:05:12.000+01:00,20210301_20210331,true,Tweede lockdown:
