origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,EGSS,91870,B77L,2020-05-31T10:39:49.000+02:00,20200601_20200630,true,""
EHBK,EBLG,995,B744,2020-06-01T06:31:35.000+02:00,20200601_20200630,true,""
EHAM,LIMC,5185,B748,2020-06-01T07:38:31.000+02:00,20200601_20200630,true,""
EHAM,ESSA,6376,B737,2020-06-01T09:19:41.000+02:00,20200601_20200630,true,""
EHAM,LIPZ,4829,E190,2020-06-01T09:21:52.000+02:00,20200601_20200630,true,""
EHEH,LHBP,5777,A320,2020-06-01T09:27:11.000+02:00,20200601_20200630,true,""
EHAM,EGLL,3146,B738,2020-06-01T09:29:15.000+02:00,20200601_20200630,true,""
EHAM,LIRF,6636,B737,2020-06-01T09:34:12.000+02:00,20200601_20200630,true,""
EHAM,LPPT,9599,B738,2020-06-01T09:36:28.000+02:00,20200601_20200630,true,""
EHAM,EGPF,4219,E75L,2020-06-01T09:37:21.000+02:00,20200601_20200630,true,""
EHEH,EYKG,6798,A320,2020-06-01T09:42:16.000+02:00,20200601_20200630,true,""
EHAM,ENGM,5219,B738,2020-06-01T09:43:45.000+02:00,20200601_20200630,true,""
EHAM,LOWW,5490,B738,2020-06-01T09:52:53.000+02:00,20200601_20200630,true,""
EHAM,LFPG,2990,B738,2020-06-01T09:53:59.000+02:00,20200601_20200630,true,""
EHAM,EDDS,3408,E75L,2020-06-01T09:58:11.000+02:00,20200601_20200630,true,""
EHAM,LIMC,4771,B737,2020-06-01T09:58:25.000+02:00,20200601_20200630,true,""
EHAM,LFBD,5039,E75L,2020-06-01T10:04:55.000+02:00,20200601_20200630,true,""
EHAM,LSZH,3571,E190,2020-06-01T10:05:54.000+02:00,20200601_20200630,true,""
EHAM,EIDW,4662,A320,2020-06-01T10:07:30.000+02:00,20200601_20200630,true,""
EHAM,EBBR,1892,E75L,2020-06-01T10:08:22.000+02:00,20200601_20200630,true,""
EHAM,EKCH,3679,E190,2020-06-01T10:10:40.000+02:00,20200601_20200630,true,""
EHAM,EKBI,2983,E75L,2020-06-01T10:28:25.000+02:00,20200601_20200630,true,""
EHAM,EDDF,3370,E190,2020-06-01T10:29:09.000+02:00,20200601_20200630,true,""
EHAM,EGCC,3330,E190,2020-06-01T10:29:53.000+02:00,20200601_20200630,true,""
EHAM,EIDW,4163,A320,2020-06-01T10:33:01.000+02:00,20200601_20200630,true,""
EHAM,EGBB,2812,E75L,2020-06-01T10:35:28.000+02:00,20200601_20200630,true,""
EHAM,EFHK,8035,E190,2020-06-01T10:37:33.000+02:00,20200601_20200630,true,""
EHAM,EDDH,2510,E75L,2020-06-01T10:49:23.000+02:00,20200601_20200630,true,""
EHAM,LDZA,5898,A319,2020-06-01T11:28:31.000+02:00,20200601_20200630,true,""
EHEH,EPGD,5033,A320,2020-06-01T14:58:34.000+02:00,20200601_20200630,true,""
EHAM,LFPG,2952,A321,2020-06-01T15:39:00.000+02:00,20200601_20200630,true,""
EHEH,LYBE,6581,A320,2020-06-01T15:39:09.000+02:00,20200601_20200630,true,""
EHAM,EDDF,3315,B763,2020-06-01T16:16:41.000+02:00,20200601_20200630,true,""
EHAM,LMML,9261,B77W,2020-06-01T16:38:27.000+02:00,20200601_20200630,true,""
EHAM,EDDF,3240,E190,2020-06-01T18:25:31.000+02:00,20200601_20200630,true,""
EHAM,EIDW,4173,B738,2020-06-01T18:41:04.000+02:00,20200601_20200630,true,""
EHAM,LFPG,3462,B752,2020-06-01T22:33:48.000+02:00,20200601_20200630,true,""
EHAM,LIRF,6760,B737,2020-06-02T08:55:29.000+02:00,20200601_20200630,true,""
EHAM,LEMD,7453,E190,2020-06-02T08:59:33.000+02:00,20200601_20200630,true,""
EHAM,EFHK,7640,E190,2020-06-02T09:10:51.000+02:00,20200601_20200630,true,""
EHAM,LKPR,4259,E75L,2020-06-02T09:24:14.000+02:00,20200601_20200630,true,""
EHAM,EGLL,3066,B738,2020-06-02T09:26:18.000+02:00,20200601_20200630,true,""
EHAM,ESSA,6091,B738,2020-06-02T09:30:28.000+02:00,20200601_20200630,true,""
EHAM,EGPF,4319,E75L,2020-06-02T09:35:52.000+02:00,20200601_20200630,true,""
EHAM,LIPZ,4966,E190,2020-06-02T09:39:19.000+02:00,20200601_20200630,true,""
EHAM,EDDS,3444,E75L,2020-06-02T09:41:48.000+02:00,20200601_20200630,true,""
EHAM,ENKJ,5039,B737,2020-06-02T09:45:47.000+02:00,20200601_20200630,true,""
EHAM,LFPG,3195,B738,2020-06-02T09:46:07.000+02:00,20200601_20200630,true,""
EHAM,EBBR,1503,E75L,2020-06-02T09:58:51.000+02:00,20200601_20200630,true,""
EHAM,LIMC,4695,B737,2020-06-02T10:01:10.000+02:00,20200601_20200630,true,""
EHAM,EGNT,3086,E75L,2020-06-02T10:01:49.000+02:00,20200601_20200630,true,""
EHAM,LSGG,3871,E190,2020-06-02T10:03:11.000+02:00,20200601_20200630,true,""
EHAM,ESGG,4227,E75L,2020-06-02T10:08:57.000+02:00,20200601_20200630,true,""
EHAM,ENUL,4698,E75L,2020-06-02T10:11:23.000+02:00,20200601_20200630,true,""
EHAM,LFBD,4877,E75L,2020-06-02T10:14:53.000+02:00,20200601_20200630,true,""
EHAM,EGCC,3380,B737,2020-06-02T10:14:54.000+02:00,20200601_20200630,true,""
EHAM,EETN,7853,BCS3,2020-06-02T10:19:04.000+02:00,20200601_20200630,true,""
EHAM,EKBI,3248,E75L,2020-06-02T10:24:38.000+02:00,20200601_20200630,true,""
EHAM,EDDF,3207,E190,2020-06-02T10:39:00.000+02:00,20200601_20200630,true,""
EHAM,LEZG,6738,B77L,2020-06-02T10:44:30.000+02:00,20200601_20200630,true,""
EHAM,EDDH,2470,E75L,2020-06-02T10:58:35.000+02:00,20200601_20200630,true,""
EHAM,EDDL,1709,E75L,2020-06-02T11:09:54.000+02:00,20200601_20200630,true,""
EHAM,LDZA,5890,A319,2020-06-02T11:25:32.000+02:00,20200601_20200630,true,""
EHAM,EDDB,3904,J328,2020-06-02T13:47:25.000+02:00,20200601_20200630,true,""
EHEH,EBBR,842,A321,2020-06-02T14:09:17.000+02:00,20200601_20200630,true,""
