origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LGAV,9969,B738,2020-02-01T06:55:59.000+01:00,20200201_20200229,true,""
EHAM,LFPG,2714,B738,2020-02-01T07:00:45.000+01:00,20200201_20200229,true,""
EHAM,EDDL,1568,E75L,2020-02-01T07:02:03.000+01:00,20200201_20200229,true,""
EHAM,LSGG,4185,E75L,2020-02-01T07:04:14.000+01:00,20200201_20200229,true,""
EHRD,LOWS,3855,B737,2020-02-01T07:07:28.000+01:00,20200201_20200229,true,""
EHRD,EGLC,2413,E190,2020-02-01T07:10:22.000+01:00,20200201_20200229,true,""
EHAM,LOWS,3788,B738,2020-02-01T07:11:48.000+01:00,20200201_20200229,true,""
EHAM,LIML,4523,A319,2020-02-01T07:16:22.000+01:00,20200201_20200229,true,""
EHAM,LSZH,3780,A320,2020-02-01T07:17:19.000+01:00,20200201_20200229,true,""
EHAM,LIMC,4336,B748,2020-02-01T07:26:43.000+01:00,20200201_20200229,true,""
EHAM,EGLL,3888,A319,2020-02-01T07:31:41.000+01:00,20200201_20200229,true,""
EHRD,LPFR,9893,B737,2020-02-01T07:36:18.000+01:00,20200201_20200229,true,""
EHAM,LPAR,9495,A320,2020-02-01T07:39:44.000+01:00,20200201_20200229,true,""
EHAM,EIDW,4633,E190,2020-02-01T07:40:41.000+01:00,20200201_20200229,true,""
EHEH,LEAL,7987,B738,2020-02-01T07:42:42.000+01:00,20200201_20200229,true,""
EHAM,EGLL,3114,B738,2020-02-01T07:45:55.000+01:00,20200201_20200229,true,""
EHAM,EDDF,2635,A320,2020-02-01T07:52:25.000+01:00,20200201_20200229,true,""
EHAM,EKCH,3062,B738,2020-02-01T07:55:26.000+01:00,20200201_20200229,true,""
EHAM,EDDM,3770,E75L,2020-02-01T07:56:38.000+01:00,20200201_20200229,true,""
EHAM,LEMD,7804,B738,2020-02-01T07:58:03.000+01:00,20200201_20200229,true,""
EHRD,LOWK,4790,B737,2020-02-01T07:59:33.000+01:00,20200201_20200229,true,""
EHAM,ESGG,3795,E190,2020-02-01T08:06:42.000+01:00,20200201_20200229,true,""
EHAM,EGLC,2498,E190,2020-02-01T08:10:09.000+01:00,20200201_20200229,true,""
EHAM,EDDT,3029,B739,2020-02-01T08:11:48.000+01:00,20200201_20200229,true,""
EHAM,EGPH,3943,B737,2020-02-01T08:15:14.000+01:00,20200201_20200229,true,""
EHAM,LEMD,7900,A320,2020-02-01T08:18:48.000+01:00,20200201_20200229,true,""
EHAM,LFLB,4252,B738,2020-02-01T08:25:42.000+01:00,20200201_20200229,true,""
EHAM,ESSA,5238,B737,2020-02-01T08:30:40.000+01:00,20200201_20200229,true,""
EHAM,EDDH,2450,B738,2020-02-01T08:36:09.000+01:00,20200201_20200229,true,""
EHAM,LFPG,2739,B738,2020-02-01T08:37:34.000+01:00,20200201_20200229,true,""
EHAM,EGBB,2905,B738,2020-02-01T08:38:51.000+01:00,20200201_20200229,true,""
EHAM,EKBI,2581,B738,2020-02-01T08:41:33.000+01:00,20200201_20200229,true,""
EHAM,LOWI,3776,B738,2020-02-01T08:49:26.000+01:00,20200201_20200229,true,""
EHEH,LOWI,4055,B738,2020-02-01T08:51:34.000+01:00,20200201_20200229,true,""
EHEH,LPAR,9189,B738,2020-02-01T09:02:41.000+01:00,20200201_20200229,true,""
EHAM,EDDM,3835,A320,2020-02-01T09:05:55.000+01:00,20200201_20200229,true,""
EHEH,EYVI,5660,A320,2020-02-01T09:12:20.000+01:00,20200201_20200229,true,""
EHEH,EVRA,5958,A320,2020-02-01T09:15:01.000+01:00,20200201_20200229,true,""
EHAM,EGKK,4400,A320,2020-02-01T09:16:36.000+01:00,20200201_20200229,true,""
EHAM,LSZM,3529,A319,2020-02-01T09:17:30.000+01:00,20200201_20200229,true,""
EHAM,LIML,4281,B737,2020-02-01T09:20:32.000+01:00,20200201_20200229,true,""
EHAM,EGSS,2766,A319,2020-02-01T09:30:22.000+01:00,20200201_20200229,true,""
EHAM,ELLX,2395,E75L,2020-02-01T09:32:04.000+01:00,20200201_20200229,true,""
EHAM,EGPG,3839,B737,2020-02-01T09:34:30.000+01:00,20200201_20200229,true,""
EHAM,EDDM,3687,B738,2020-02-01T09:38:00.000+01:00,20200201_20200229,true,""
