origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LGMK,10383,B738,2020-08-01T04:05:56.000+02:00,20200801_20200831,true,""
EHAM,LEMG,10002,B737,2020-08-01T05:06:03.000+02:00,20200801_20200831,true,""
EHAM,EDDV,1927,B738,2020-08-01T05:50:28.000+02:00,20200801_20200831,true,""
EHAM,LGRP,11986,B738,2020-08-01T06:03:36.000+02:00,20200801_20200831,true,""
EHAM,LEBL,6372,B738,2020-08-01T06:04:17.000+02:00,20200801_20200831,true,""
EHAM,LPPT,9721,B738,2020-08-01T06:10:15.000+02:00,20200801_20200831,true,""
EHAM,LEGE,5769,B738,2020-08-01T06:33:33.000+02:00,20200801_20200831,true,""
EHAM,LIRP,5264,B738,2020-08-01T06:55:45.000+02:00,20200801_20200831,true,""
EHEH,LEBL,6350,B738,2020-08-01T07:01:07.000+02:00,20200801_20200831,true,""
EHRD,LEMG,9570,B737,2020-08-01T07:01:29.000+02:00,20200801_20200831,true,""
EHRD,LEGE,5911,B738,2020-08-01T07:04:56.000+02:00,20200801_20200831,true,""
EHAM,LGAV,10151,B738,2020-08-01T07:09:14.000+02:00,20200801_20200831,true,""
EHAM,LEIB,7884,B737,2020-08-01T07:10:28.000+02:00,20200801_20200831,true,""
EHAM,EGSS,2051,A320,2020-08-01T07:12:54.000+02:00,20200801_20200831,true,""
EHAM,LEAL,8100,B738,2020-08-01T07:14:52.000+02:00,20200801_20200831,true,""
EHEH,LEMG,9883,B738,2020-08-01T07:18:46.000+02:00,20200801_20200831,true,""
EHAM,LEMG,10148,B738,2020-08-01T07:20:20.000+02:00,20200801_20200831,true,""
EHRD,LD57,5494,B738,2020-08-01T07:22:17.000+02:00,20200801_20200831,true,""
EHAM,LIPX,4703,A320,2020-08-01T07:27:35.000+02:00,20200801_20200831,true,""
EHAM,LSGG,3790,A320,2020-08-01T07:28:44.000+02:00,20200801_20200831,true,""
EHEH,LEAL,8211,B738,2020-08-01T07:32:34.000+02:00,20200801_20200831,true,""
EHEH,LIPM,4285,B738,2020-08-01T07:39:25.000+02:00,20200801_20200831,true,""
