origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LDPL,7002,B738,2019-09-01T00:20:42.000+02:00,20190901_20190930,false,""
EHAM,LGKO,12013,B738,2019-09-01T05:06:46.000+02:00,20190901_20190930,false,""
EHAM,LEMG,9855,B738,2019-09-01T05:38:13.000+02:00,20190901_20190930,false,""
EHAM,LELL,6567,B738,2019-09-01T06:09:56.000+02:00,20190901_20190930,false,""
EHAM,LPFR,10335,B738,2019-09-01T06:14:41.000+02:00,20190901_20190930,false,""
EHAM,LGKO,11920,B738,2019-09-01T06:24:12.000+02:00,20190901_20190930,false,""
EHAM,LJLJ,6286,B737,2019-09-01T06:38:42.000+02:00,20190901_20190930,false,""
EHAM,LOWW,5464,B738,2019-09-01T06:54:54.000+02:00,20190901_20190930,false,""
EHAM,EBMB,1400,E190,2019-09-01T06:56:36.000+02:00,20190901_20190930,false,""
EHAM,ESSA,6128,B738,2019-09-01T07:00:39.000+02:00,20190901_20190930,false,""
EHAM,LIEO,6937,B738,2019-09-01T07:01:08.000+02:00,20190901_20190930,false,""
EHAM,LSZH,4729,A320,2019-09-01T07:06:58.000+02:00,20190901_20190930,false,""
EHAM,EDDT,3779,B737,2019-09-01T07:06:59.000+02:00,20190901_20190930,false,""
EHAM,LIMN,4614,A319,2019-09-01T07:08:46.000+02:00,20190901_20190930,false,""
EHAM,EDDH,2516,E75L,2019-09-01T07:09:13.000+02:00,20190901_20190930,false,""
EHAM,EGPH,4195,B737,2019-09-01T07:15:28.000+02:00,20190901_20190930,false,""
EHAM,LIMJ,5674,A320,2019-09-01T07:18:35.000+02:00,20190901_20190930,false,""
EHAM,LGIR,11983,B738,2019-09-01T07:21:00.000+02:00,20190901_20190930,false,""
EHAM,LIRF,6637,B739,2019-09-01T07:23:22.000+02:00,20190901_20190930,false,""
EHAM,LEMD,9010,B737,2019-09-01T07:24:19.000+02:00,20190901_20190930,false,""
EHAM,LOWW,5199,E195,2019-09-01T07:25:48.000+02:00,20190901_20190930,false,""
EHAM,EDDM,4402,E190,2019-09-01T07:28:29.000+02:00,20190901_20190930,false,""
EHAM,LSZH,3953,E190,2019-09-01T07:30:05.000+02:00,20190901_20190930,false,""
EHAM,LFPG,2785,B738,2019-09-01T07:32:55.000+02:00,20190901_20190930,false,""
EHAM,LPPT,10259,A319,2019-09-01T07:33:59.000+02:00,20190901_20190930,false,""
EHEH,LEAL,8305,B738,2019-09-01T07:54:23.000+02:00,20190901_20190930,false,""
EHAM,EGLL,3334,B738,2019-09-01T07:57:55.000+02:00,20190901_20190930,false,""
EHEH,LGIR,11775,B738,2019-09-01T07:58:59.000+02:00,20190901_20190930,false,""
EHRD,LEAL,7628,B737,2019-09-01T08:01:33.000+02:00,20190901_20190930,false,""
EHAM,EDDF,3054,A321,2019-09-01T08:03:49.000+02:00,20190901_20190930,false,""
EHAM,ESGG,3485,E75L,2019-09-01T08:04:53.000+02:00,20190901_20190930,false,""
EHEH,LGAV,9803,B738,2019-09-01T08:07:12.000+02:00,20190901_20190930,false,""
EHAM,EGLL,3153,A320,2019-09-01T08:08:53.000+02:00,20190901_20190930,false,""
EHEH,LGKO,10519,B738,2019-09-01T08:09:26.000+02:00,20190901_20190930,false,""
EHAM,LIMC,5423,B748,2019-09-01T08:13:04.000+02:00,20190901_20190930,false,""
EHAM,EGCC,3547,B738,2019-09-01T08:15:20.000+02:00,20190901_20190930,false,""
EHAM,LFPG,3206,B738,2019-09-01T08:18:33.000+02:00,20190901_20190930,false,""
EHAM,LEMD,8708,A320,2019-09-01T08:18:49.000+02:00,20190901_20190930,false,""
EHAM,EKYT,3206,E75L,2019-09-01T08:35:31.000+02:00,20190901_20190930,false,""
EHAM,ENZV,3799,E75L,2019-09-01T08:35:38.000+02:00,20190901_20190930,false,""
EHAM,EGBB,3314,B738,2019-09-01T08:38:43.000+02:00,20190901_20190930,false,""
EHAM,EDDN,3386,E75L,2019-09-01T08:40:03.000+02:00,20190901_20190930,false,""
EHAM,LIMN,5217,A320,2019-09-01T08:40:37.000+02:00,20190901_20190930,false,""
EHAM,EKBI,2660,E75L,2019-09-01T08:42:07.000+02:00,20190901_20190930,false,""
EHAM,EDDF,2777,E75L,2019-09-01T08:45:33.000+02:00,20190901_20190930,false,""
EHAM,EGNT,3395,B738,2019-09-01T08:46:07.000+02:00,20190901_20190930,false,""
EHRD,LFBX,4363,B737,2019-09-01T08:56:15.000+02:00,20190901_20190930,false,""
EHAM,EDDM,4290,A319,2019-09-01T08:59:46.000+02:00,20190901_20190930,false,""
EHAM,LIMN,4861,B737,2019-09-01T09:02:08.000+02:00,20190901_20190930,false,""
