origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LFPG,83673,B763,2020-02-29T11:21:21.000+01:00,20200301_20200331,true,""
EHAM,LEPA,7501,B737,2020-03-01T06:07:22.000+01:00,20200301_20200331,true,""
EHAM,LICC,8665,B738,2020-03-01T06:08:26.000+01:00,20200301_20200331,true,""
EHAM,LEMG,9712,B737,2020-03-01T06:22:57.000+01:00,20200301_20200331,true,""
EHAM,LEMU,7908,B738,2020-03-01T06:47:53.000+01:00,20200301_20200331,true,""
EHAM,LFPG,2907,B738,2020-03-01T06:56:44.000+01:00,20200301_20200331,true,""
EHAM,EPWA,4982,E170,2020-03-01T07:02:20.000+01:00,20200301_20200331,true,""
EHAM,LSZH,3935,A320,2020-03-01T07:06:22.000+01:00,20200301_20200331,true,""
EHAM,EDDL,1509,E75L,2020-03-01T07:06:47.000+01:00,20200301_20200331,true,""
EHRD,LEMU,7506,B737,2020-03-01T07:07:03.000+01:00,20200301_20200331,true,""
EHEH,LEMG,9581,B738,2020-03-01T07:08:10.000+01:00,20200301_20200331,true,""
EHRD,LEMG,9434,B737,2020-03-01T07:08:38.000+01:00,20200301_20200331,true,""
EHAM,LIRF,6445,B738,2020-03-01T07:12:04.000+01:00,20200301_20200331,true,""
EHRD,LPFR,9857,B737,2020-03-01T07:12:07.000+01:00,20200301_20200331,true,""
EHAM,LEVC,7730,B738,2020-03-01T07:12:07.000+01:00,20200301_20200331,true,""
EHEH,LEMU,7667,B738,2020-03-01T07:13:40.000+01:00,20200301_20200331,true,""
EHAM,LOWW,4818,E195,2020-03-01T07:16:27.000+01:00,20200301_20200331,true,""
EHRD,LOWS,4124,B737,2020-03-01T07:17:56.000+01:00,20200301_20200331,true,""
EHAM,LOWS,4165,B738,2020-03-01T07:19:25.000+01:00,20200301_20200331,true,""
EHAM,LPPT,9404,A320,2020-03-01T07:21:12.000+01:00,20200301_20200331,true,""
EHAM,LIBD,7134,B738,2020-03-01T07:25:05.000+01:00,20200301_20200331,true,""
EHAM,LFPG,2953,B739,2020-03-01T07:29:46.000+01:00,20200301_20200331,true,""
EHAM,EGLL,3804,B737,2020-03-01T07:32:03.000+01:00,20200301_20200331,true,""
EHRD,LOWI,3708,B738,2020-03-01T07:33:26.000+01:00,20200301_20200331,true,""
EHEH,LPPT,9341,B738,2020-03-01T07:37:16.000+01:00,20200301_20200331,true,""
EHAM,EGLL,3517,A321,2020-03-01T07:39:48.000+01:00,20200301_20200331,true,""
EHAM,LEMD,7256,B738,2020-03-01T07:44:33.000+01:00,20200301_20200331,true,""
EHAM,EKCH,3486,B738,2020-03-01T07:46:37.000+01:00,20200301_20200331,true,""
EHAM,ENZV,3935,E75L,2020-03-01T07:56:08.000+01:00,20200301_20200331,true,""
EHAM,EGCC,3481,B737,2020-03-01T08:05:52.000+01:00,20200301_20200331,true,""
EHAM,EGPG,3953,E190,2020-03-01T08:07:32.000+01:00,20200301_20200331,true,""
EHAM,LEMD,8211,A320,2020-03-01T08:11:38.000+01:00,20200301_20200331,true,""
EHAM,EDDT,3248,B738,2020-03-01T08:13:18.000+01:00,20200301_20200331,true,""
EHAM,LFPG,2816,B738,2020-03-01T08:19:30.000+01:00,20200301_20200331,true,""
EHAM,LEBL,6430,B738,2020-03-01T08:21:55.000+01:00,20200301_20200331,true,""
EHAM,EDDH,2961,B738,2020-03-01T08:24:01.000+01:00,20200301_20200331,true,""
EHAM,EGBB,3108,B738,2020-03-01T08:24:52.000+01:00,20200301_20200331,true,""
EHAM,EDDF,2771,E75L,2020-03-01T08:33:01.000+01:00,20200301_20200331,true,""
EHAM,ESSA,5523,B738,2020-03-01T08:36:42.000+01:00,20200301_20200331,true,""
EHAM,EKBI,3050,E75L,2020-03-01T08:40:09.000+01:00,20200301_20200331,true,""
EHAM,LSZM,3484,A320,2020-03-01T08:48:21.000+01:00,20200301_20200331,true,""
EHAM,LIML,4637,B737,2020-03-01T08:55:11.000+01:00,20200301_20200331,true,""
EHEH,LPPT,9706,B738,2020-03-01T08:56:01.000+01:00,20200301_20200331,true,""
EHAM,EDDM,4200,A319,2020-03-01T08:59:27.000+01:00,20200301_20200331,true,""
EHAM,LEZL,9235,B738,2020-03-01T09:03:28.000+01:00,20200301_20200331,true,""
EHAM,EDDF,2988,A319,2020-03-01T09:04:07.000+01:00,20200301_20200331,true,""
EHAM,EGSH,1739,E75L,2020-03-01T09:10:30.000+01:00,20200301_20200331,true,""
EHAM,LIRF,7032,A320,2020-03-01T09:13:27.000+01:00,20200301_20200331,true,""
EHAM,EPGD,4965,E75L,2020-03-01T09:33:31.000+01:00,20200301_20200331,true,""
EHAM,ELLX,2246,E75L,2020-03-01T09:34:24.000+01:00,20200301_20200331,true,""
EHAM,EGFF,3643,E75L,2020-03-01T09:34:33.000+01:00,20200301_20200331,true,""
EHAM,LFPG,2785,A321,2020-03-01T09:38:04.000+01:00,20200301_20200331,true,""
EHAM,LSGG,4089,B738,2020-03-01T09:41:17.000+01:00,20200301_20200331,true,""
EHAM,EDDW,2063,E190,2020-03-01T09:41:23.000+01:00,20200301_20200331,true,""
EHAM,LROP,7666,B739,2020-03-01T09:42:23.000+01:00,20200301_20200331,true,""
EHAM,LSZM,3116,E190,2020-03-01T09:43:03.000+01:00,20200301_20200331,true,""
EHAM,EGGW,2753,A320,2020-03-01T09:43:04.000+01:00,20200301_20200331,true,""
EHAM,EDDM,3756,B738,2020-03-01T09:44:15.000+01:00,20200301_20200331,true,""
EHAM,LIRF,6204,B738,2020-03-01T09:45:22.000+01:00,20200301_20200331,true,""
EHAM,EDDC,3354,E75L,2020-03-01T09:46:30.000+01:00,20200301_20200331,true,""
EHAM,LFLL,4265,B738,2020-03-01T09:47:35.000+01:00,20200301_20200331,true,""
EHAM,EDDT,3129,B738,2020-03-01T09:52:19.000+01:00,20200301_20200331,true,""
EHAM,LIPZ,4947,B738,2020-03-01T09:54:01.000+01:00,20200301_20200331,true,""
EHAM,LEMD,7578,B738,2020-03-01T09:55:30.000+01:00,20200301_20200331,true,""
EHAM,EDDF,3117,E75L,2020-03-01T09:59:00.000+01:00,20200301_20200331,true,""
EHAM,EGPD,3974,B737,2020-03-01T09:59:15.000+01:00,20200301_20200331,true,""
EHAM,LFML,5100,A319,2020-03-01T10:00:21.000+01:00,20200301_20200331,true,""
EHAM,EGSS,2239,A320,2020-03-01T10:00:26.000+01:00,20200301_20200331,true,""
EHAM,EFHK,6654,B738,2020-03-01T10:01:34.000+01:00,20200301_20200331,true,""
EHAM,LSZH,3790,E190,2020-03-01T10:03:43.000+01:00,20200301_20200331,true,""
EHAM,LOWW,5675,A319,2020-03-01T10:05:04.000+01:00,20200301_20200331,true,""
EHAM,LOWW,4378,B737,2020-03-01T10:07:01.000+01:00,20200301_20200331,true,""
EHAM,EGNJ,2457,E75L,2020-03-01T10:07:02.000+01:00,20200301_20200331,true,""
EHAM,EKCH,3399,B738,2020-03-01T10:09:13.000+01:00,20200301_20200331,true,""
EHAM,EPWA,4977,B737,2020-03-01T10:10:00.000+01:00,20200301_20200331,true,""
EHAM,EIDW,4515,A320,2020-03-01T10:13:37.000+01:00,20200301_20200331,true,""
EHAM,EIDW,4401,B738,2020-03-01T10:18:05.000+01:00,20200301_20200331,true,""
EHAM,LHBP,5499,B737,2020-03-01T10:18:50.000+01:00,20200301_20200331,true,""
EHAM,ENGM,4586,B738,2020-03-01T10:19:19.000+01:00,20200301_20200331,true,""
EHAM,EGLL,4369,A319,2020-03-01T10:20:06.000+01:00,20200301_20200331,true,""
EHAM,EDDS,3227,E75L,2020-03-01T10:20:40.000+01:00,20200301_20200331,true,""
EHAM,LEBL,6149,B738,2020-03-01T10:22:08.000+01:00,20200301_20200331,true,""
EHAM,LFBD,4984,B737,2020-03-01T10:25:45.000+01:00,20200301_20200331,true,""
EHAM,EKYT,3346,E190,2020-03-01T10:34:06.000+01:00,20200301_20200331,true,""
EHAM,EKCH,3683,A20N,2020-03-01T10:35:32.000+01:00,20200301_20200331,true,""
EHAM,LFPG,2867,A321,2020-03-01T10:41:48.000+01:00,20200301_20200331,true,""
EHAM,EGLL,3682,B738,2020-03-01T10:48:37.000+01:00,20200301_20200331,true,""
EHAM,ESSA,5577,A20N,2020-03-01T10:53:31.000+01:00,20200301_20200331,true,""
EHAM,ESSA,5508,B739,2020-03-01T10:55:55.000+01:00,20200301_20200331,true,""
EHAM,ELLX,2634,B744,2020-03-01T11:03:35.000+01:00,20200301_20200331,true,""
EHAM,EPWA,5153,A320,2020-03-01T11:06:05.000+01:00,20200301_20200331,true,""
EHAM,EGKK,2461,A320,2020-03-01T11:10:10.000+01:00,20200301_20200331,true,""
EHAM,EDDM,3728,A320,2020-03-01T11:14:07.000+01:00,20200301_20200331,true,""
EHAM,EGGW,2982,A319,2020-03-01T11:23:03.000+01:00,20200301_20200331,true,""
EHEH,ESSA,5860,B738,2020-03-01T11:27:32.000+01:00,20200301_20200331,true,""
EHAM,LDZA,5307,A320,2020-03-01T11:41:01.000+01:00,20200301_20200331,true,""
EHAM,EFHK,7283,A321,2020-03-01T11:45:04.000+01:00,20200301_20200331,true,""
EHAM,EGLL,2974,B737,2020-03-01T11:46:47.000+01:00,20200301_20200331,true,""
EHAM,LOWI,3758,B738,2020-03-01T11:47:40.000+01:00,20200301_20200331,true,""
EHRD,LEBL,5893,B737,2020-03-01T11:55:46.000+01:00,20200301_20200331,true,""
EHEH,EGSS,2879,B738,2020-03-01T11:56:17.000+01:00,20200301_20200331,true,""
EHAM,LOGW,5107,E75L,2020-03-01T11:59:22.000+01:00,20200301_20200331,true,""
EHAM,EPWR,3961,E75L,2020-03-01T12:03:21.000+01:00,20200301_20200331,true,""
EHAM,LIRF,6336,A321,2020-03-01T12:04:51.000+01:00,20200301_20200331,true,""
EHEH,LEMG,9099,B738,2020-03-01T12:07:40.000+01:00,20200301_20200331,true,""
EHAM,LROP,8068,B738,2020-03-01T12:09:37.000+01:00,20200301_20200331,true,""
EHAM,EGKR,2777,A320,2020-03-01T12:10:41.000+01:00,20200301_20200331,true,""
EHAM,LEBL,6264,B738,2020-03-01T12:10:50.000+01:00,20200301_20200331,true,""
EHGG,EGMC,4547,AT76,2020-03-01T12:11:42.000+01:00,20200301_20200331,true,""
EHAM,EGCC,3357,E75S,2020-03-01T12:13:31.000+01:00,20200301_20200331,true,""
EHAM,EGPE,4769,E75L,2020-03-01T12:16:30.000+01:00,20200301_20200331,true,""
EHAM,EDDP,2964,A306,2020-03-01T12:17:27.000+01:00,20200301_20200331,true,""
EHAM,ESGG,3853,E75L,2020-03-01T12:19:12.000+01:00,20200301_20200331,true,""
EHAM,LIML,4427,A319,2020-03-01T12:19:37.000+01:00,20200301_20200331,true,""
EHAM,EGPH,3809,B737,2020-03-01T12:23:00.000+01:00,20200301_20200331,true,""
EHAM,EGNT,3219,B737,2020-03-01T12:25:20.000+01:00,20200301_20200331,true,""
EHRD,LOWI,3796,B738,2020-03-01T12:27:31.000+01:00,20200301_20200331,true,""
EHAM,EGAC,4359,E75L,2020-03-01T12:27:42.000+01:00,20200301_20200331,true,""
EHAM,LKPR,3646,B738,2020-03-01T12:27:43.000+01:00,20200301_20200331,true,""
EHAM,LEMD,8839,A320,2020-03-01T12:30:37.000+01:00,20200301_20200331,true,""
EHAM,LGKN,9393,B738,2020-03-01T12:35:00.000+01:00,20200301_20200331,true,""
EHAM,EGCC,3741,B738,2020-03-01T12:38:06.000+01:00,20200301_20200331,true,""
EHAM,EDDT,3028,B738,2020-03-01T12:41:30.000+01:00,20200301_20200331,true,""
EHAM,LPPT,9246,B739,2020-03-01T12:42:53.000+01:00,20200301_20200331,true,""
EHAM,LEMG,9511,B738,2020-03-01T12:45:49.000+01:00,20200301_20200331,true,""
EHEH,LIME,3949,B738,2020-03-01T12:48:35.000+01:00,20200301_20200331,true,""
EHAM,EPKT,4765,B737,2020-03-01T12:48:48.000+01:00,20200301_20200331,true,""
EHAM,ELLX,2223,B744,2020-03-01T12:51:07.000+01:00,20200301_20200331,true,""
EHAM,EIDW,4609,B738,2020-03-01T12:55:00.000+01:00,20200301_20200331,true,""
EHAM,EDDS,3174,E190,2020-03-01T13:01:31.000+01:00,20200301_20200331,true,""
EHAM,EDDH,2474,B737,2020-03-01T13:07:10.000+01:00,20200301_20200331,true,""
EHAM,LEBL,5908,B77L,2020-03-01T13:13:10.000+01:00,20200301_20200331,true,""
EHAM,EVRA,5708,B744,2020-03-01T13:14:47.000+01:00,20200301_20200331,true,""
EHAM,BIKF,9916,B763,2020-03-01T13:20:41.000+01:00,20200301_20200331,true,""
EHAM,ELLX,2220,E75L,2020-03-01T13:23:16.000+01:00,20200301_20200331,true,""
EHAM,EDDV,2283,E75L,2020-03-01T13:28:06.000+01:00,20200301_20200331,true,""
EHEH,EHAM,1945,B738,2020-03-01T13:33:21.000+01:00,20200301_20200331,true,""
EHAM,EIDW,4341,A320,2020-03-01T13:33:46.000+01:00,20200301_20200331,true,""
EHAM,ENGM,4709,B738,2020-03-01T13:35:00.000+01:00,20200301_20200331,true,""
EHAM,LIPC,5695,A306,2020-03-01T13:35:01.000+01:00,20200301_20200331,true,""
EHAM,EBBR,1362,E75L,2020-03-01T13:41:17.000+01:00,20200301_20200331,true,""
EHEH,EPWR,3789,A320,2020-03-01T13:43:03.000+01:00,20200301_20200331,true,""
EHEH,LEBL,5945,B738,2020-03-01T13:46:54.000+01:00,20200301_20200331,true,""
