origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,EGNX,3836,B734,2021-06-01T02:53:25.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EDDB,4470,B738,2021-06-01T04:04:16.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LEIB,7963,B738,2021-06-01T06:26:30.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LFPG,3039,B737,2021-06-01T06:55:50.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LEMG,9534,B738,2021-06-01T07:03:35.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHRD,LEIB,7671,B738,2021-06-01T07:10:27.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHEH,LEMG,8947,B738,2021-06-01T08:03:50.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LFPG,3197,B737,2021-06-01T08:15:09.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EDDF,2681,E190,2021-06-01T08:36:16.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LEAL,8159,B738,2021-06-01T09:07:54.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LIPZ,4957,E75L,2021-06-01T09:25:34.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EGLL,2637,B738,2021-06-01T09:30:21.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LFXA,3795,E75L,2021-06-01T09:31:00.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EPKK,5253,E75L,2021-06-01T09:32:25.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LEMD,7663,B737,2021-06-01T09:33:12.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,ELLX,2507,E75L,2021-06-01T09:40:37.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LROP,8187,B737,2021-06-01T09:43:31.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LFBD,7253,E75L,2021-06-01T09:46:05.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LIRF,6285,B737,2021-06-01T09:47:07.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LFPG,2818,A320,2021-06-01T09:49:42.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LSZH,3211,B737,2021-06-01T09:59:43.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EIDW,4221,B737,2021-06-01T10:03:06.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EKCH,3437,B737,2021-06-01T10:05:30.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EDDF,2528,E75L,2021-06-01T10:05:39.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EGPD,3913,E75L,2021-06-01T10:08:42.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHEH,LYBE,6731,A320,2021-06-01T10:11:46.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EGPF,4240,E75L,2021-06-01T10:12:47.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EFHK,7412,B738,2021-06-01T10:14:21.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EDDB,3469,E190,2021-06-01T10:42:34.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EGNT,2973,E75L,2021-06-01T10:43:38.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,EYVI,6883,BCS3,2021-06-01T10:44:47.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
EHAM,LEBL,6288,B738,2021-06-01T10:46:02.000+02:00,20210601_20210630,true,Gedeeltelijke lockdown (na tweede lockdown):
