origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LEIB,7770,B738,2021-10-01T05:29:29.000+02:00,20211001_20211031,true,""
EHAM,LPFR,9863,B738,2021-10-01T05:40:50.000+02:00,20211001_20211031,true,""
EHAM,LPFR,9862,B738,2021-10-01T06:13:22.000+02:00,20211001_20211031,true,""
EHAM,LEBL,6255,B738,2021-10-01T06:15:14.000+02:00,20211001_20211031,true,""
EHAM,LEPA,6938,B738,2021-10-01T06:26:36.000+02:00,20211001_20211031,true,""
EHAM,LFPG,2746,B738,2021-10-01T06:45:57.000+02:00,20211001_20211031,true,""
EHAM,EBBR,1377,E75L,2021-10-01T06:50:50.000+02:00,20211001_20211031,true,""
EHAM,ESSA,5834,E190,2021-10-01T06:54:13.000+02:00,20211001_20211031,true,""
EHRD,LEIB,7304,B738,2021-10-01T07:00:39.000+02:00,20211001_20211031,true,""
EHRD,LEBL,5920,B738,2021-10-01T07:02:33.000+02:00,20211001_20211031,true,""
EHAM,LEZL,9012,B738,2021-10-01T07:10:40.000+02:00,20211001_20211031,true,""
EHAM,LOWW,4785,A319,2021-10-01T07:12:04.000+02:00,20211001_20211031,true,""
EHAM,LIPX,4694,B738,2021-10-01T07:15:13.000+02:00,20211001_20211031,true,""
EHAM,ENGM,4859,E190,2021-10-01T07:15:55.000+02:00,20211001_20211031,true,""
EHAM,EPWA,5701,E75S,2021-10-01T07:17:25.000+02:00,20211001_20211031,true,""
EHEH,LEAL,7793,B738,2021-10-01T07:19:14.000+02:00,20211001_20211031,true,""
EHAM,EGLC,2462,E190,2021-10-01T07:21:34.000+02:00,20211001_20211031,true,""
EHRD,LEPA,7731,B737,2021-10-01T07:22:35.000+02:00,20211001_20211031,true,""
EHAM,LFPG,2859,B738,2021-10-01T07:24:50.000+02:00,20211001_20211031,true,""
EHAM,EGLL,3008,B737,2021-10-01T07:26:29.000+02:00,20211001_20211031,true,""
EHAM,EKCH,3623,E190,2021-10-01T07:28:05.000+02:00,20211001_20211031,true,""
EHAM,LIRF,6502,B737,2021-10-01T07:31:48.000+02:00,20211001_20211031,true,""
EHAM,EDDM,3588,CRJ9,2021-10-01T07:35:37.000+02:00,20211001_20211031,true,""
EHEH,LPFR,9800,B738,2021-10-01T07:45:39.000+02:00,20211001_20211031,true,""
EHEH,LEZL,8862,B738,2021-10-01T07:49:06.000+02:00,20211001_20211031,true,""
EHAM,LEAL,7813,B738,2021-10-01T07:52:46.000+02:00,20211001_20211031,true,""
EHRD,LPFR,10373,B738,2021-10-01T07:55:36.000+02:00,20211001_20211031,true,""
EHRD,LEMG,9197,B737,2021-10-01T08:05:03.000+02:00,20211001_20211031,true,""
EHEH,LGTT,9109,B738,2021-10-01T08:07:40.000+02:00,20211001_20211031,true,""
EHAM,EGLC,2493,E190,2021-10-01T08:13:05.000+02:00,20211001_20211031,true,""
EHAM,ENZV,4040,E75L,2021-10-01T08:17:31.000+02:00,20211001_20211031,true,""
EHAM,LIML,4677,B737,2021-10-01T08:31:44.000+02:00,20211001_20211031,true,""
EHAM,LEBL,6334,B738,2021-10-01T08:33:12.000+02:00,20211001_20211031,true,""
EHAM,EDDL,1612,E190,2021-10-01T08:54:37.000+02:00,20211001_20211031,true,""
EHAM,EDDB,3560,A320,2021-10-01T08:57:07.000+02:00,20211001_20211031,true,""
EHAM,LHBP,5898,B737,2021-10-01T09:04:35.000+02:00,20211001_20211031,true,""
EHAM,EGLL,3140,B738,2021-10-01T09:05:38.000+02:00,20211001_20211031,true,""
EHAM,LPPT,9751,B738,2021-10-01T09:07:55.000+02:00,20211001_20211031,true,""
EHAM,LPPR,8490,E190,2021-10-01T09:09:11.000+02:00,20211001_20211031,true,""
EHAM,LFHC,4050,B737,2021-10-01T09:11:02.000+02:00,20211001_20211031,true,""
EHAM,EHWO,1193,B738,2021-10-01T09:12:20.000+02:00,20211001_20211031,true,""
EHAM,ELLX,2395,E75L,2021-10-01T09:13:31.000+02:00,20211001_20211031,true,""
EHAM,EDDF,2374,E190,2021-10-01T09:16:31.000+02:00,20211001_20211031,true,""
EHAM,LIPZ,4810,B738,2021-10-01T09:20:32.000+02:00,20211001_20211031,true,""
EHAM,EGSH,1736,E75L,2021-10-01T09:22:21.000+02:00,20211001_20211031,true,""
EHAM,EGGW,2703,A320,2021-10-01T09:23:45.000+02:00,20211001_20211031,true,""
EHAM,EGNM,2858,E190,2021-10-01T09:25:30.000+02:00,20211001_20211031,true,""
EHEH,LBSF,8377,A320,2021-10-01T09:27:49.000+02:00,20211001_20211031,true,""
EHAM,ENGM,4926,E190,2021-10-01T09:32:13.000+02:00,20211001_20211031,true,""
EHAM,LFBO,5375,B737,2021-10-01T09:32:15.000+02:00,20211001_20211031,true,""
EHAM,EBMB,1303,B737,2021-10-01T09:45:43.000+02:00,20211001_20211031,true,""
EHAM,LIQL,5283,E190,2021-10-01T09:47:07.000+02:00,20211001_20211031,true,""
EHAM,LPPT,9812,B738,2021-10-01T09:48:39.000+02:00,20211001_20211031,true,""
EHAM,EDDS,3203,E75L,2021-10-01T09:50:36.000+02:00,20211001_20211031,true,""
EHAM,LFPG,2782,A320,2021-10-01T09:52:16.000+02:00,20211001_20211031,true,""
EHAM,EGPF,3821,B738,2021-10-01T09:54:18.000+02:00,20211001_20211031,true,""
EHAM,LFBD,4854,B737,2021-10-01T09:55:30.000+02:00,20211001_20211031,true,""
EHAM,EKCH,3379,B738,2021-10-01T09:55:39.000+02:00,20211001_20211031,true,""
EHAM,EDDN,3035,E75L,2021-10-01T09:57:20.000+02:00,20211001_20211031,true,""
EHEH,LEZL,9208,B738,2021-10-01T09:59:36.000+02:00,20211001_20211031,true,""
EHAM,EDDW,1796,E75L,2021-10-01T10:00:31.000+02:00,20211001_20211031,true,""
EHAM,LFNR,5343,CRJX,2021-10-01T10:01:44.000+02:00,20211001_20211031,true,""
EHAM,LSZH,3658,BCS1,2021-10-01T10:04:38.000+02:00,20211001_20211031,true,""
EHRD,LEIB,7663,B738,2021-10-01T10:06:30.000+02:00,20211001_20211031,true,""
EHAM,LIRF,6217,B738,2021-10-01T10:06:41.000+02:00,20211001_20211031,true,""
EHAM,EDDM,5289,B738,2021-10-01T10:08:03.000+02:00,20211001_20211031,true,""
