origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,LFPG,84967,B763,2018-12-31T11:09:51.000+01:00,20190101_20190131,false,""
EHAM,LIRM,6444,B738,2019-01-01T06:34:52.000+01:00,20190101_20190131,false,""
EHAM,ENKJ,4761,B737,2019-01-01T06:48:37.000+01:00,20190101_20190131,false,""
EHAM,LKPR,3779,E190,2019-01-01T06:51:59.000+01:00,20190101_20190131,false,""
EHAM,LPPT,9380,B738,2019-01-01T06:55:27.000+01:00,20190101_20190131,false,""
EHAM,LIRF,6255,B738,2019-01-01T06:55:27.000+01:00,20190101_20190131,false,""
EHAM,LSGG,3839,B737,2019-01-01T07:01:50.000+01:00,20190101_20190131,false,""
EHAM,LPPT,9278,A319,2019-01-01T07:05:10.000+01:00,20190101_20190131,false,""
EHRD,LPFR,9381,B738,2019-01-01T07:06:38.000+01:00,20190101_20190131,false,""
EHAM,LIML,4211,A319,2019-01-01T07:07:29.000+01:00,20190101_20190131,false,""
EHAM,LEBL,6066,B738,2019-01-01T07:08:42.000+01:00,20190101_20190131,false,""
EHAM,LSZH,3491,A320,2019-01-01T07:09:43.000+01:00,20190101_20190131,false,""
EHAM,LEBL,6238,A320,2019-01-01T07:10:21.000+01:00,20190101_20190131,false,""
EHAM,EGKK,2385,A320,2019-01-01T07:11:21.000+01:00,20190101_20190131,false,""
EHAM,LEMG,9360,B738,2019-01-01T07:12:24.000+01:00,20190101_20190131,false,""
EHEH,LOWI,3347,B738,2019-01-01T07:13:12.000+01:00,20190101_20190131,false,""
EHRD,LEMG,8704,B737,2019-01-01T07:18:16.000+01:00,20190101_20190131,false,""
EHAM,EGGW,2906,A320,2019-01-01T07:21:26.000+01:00,20190101_20190131,false,""
EHAM,EGLL,2659,B738,2019-01-01T07:29:29.000+01:00,20190101_20190131,false,""
EHAM,LE85,8754,B738,2019-01-01T07:29:39.000+01:00,20190101_20190131,false,""
EHRD,LEAL,7632,B737,2019-01-01T07:33:17.000+01:00,20190101_20190131,false,""
EHAM,LEMD,7664,B738,2019-01-01T07:41:38.000+01:00,20190101_20190131,false,""
EHAM,LFPG,2693,B738,2019-01-01T07:44:06.000+01:00,20190101_20190131,false,""
EHRD,LEBL,5810,B737,2019-01-01T07:44:11.000+01:00,20190101_20190131,false,""
EHEH,ESSA,6453,B738,2019-01-01T07:45:23.000+01:00,20190101_20190131,false,""
EHAM,EDDM,3601,B738,2019-01-01T07:51:49.000+01:00,20190101_20190131,false,""
EHAM,EGLL,2560,A321,2019-01-01T08:01:09.000+01:00,20190101_20190131,false,""
EHAM,EKCH,3958,B738,2019-01-01T08:07:50.000+01:00,20190101_20190131,false,""
EHEH,LEAL,7698,B738,2019-01-01T08:09:22.000+01:00,20190101_20190131,false,""
EHAM,EDDT,3465,B739,2019-01-01T08:12:27.000+01:00,20190101_20190131,false,""
EHAM,LFPP,2245,B738,2019-01-01T08:14:03.000+01:00,20190101_20190131,false,""
EHAM,EGCC,3427,B738,2019-01-01T08:16:40.000+01:00,20190101_20190131,false,""
EHAM,LEMD,7374,A320,2019-01-01T08:18:26.000+01:00,20190101_20190131,false,""
EHAM,EGPH,4166,B737,2019-01-01T08:19:46.000+01:00,20190101_20190131,false,""
EHAM,LEBL,5931,B738,2019-01-01T08:28:18.000+01:00,20190101_20190131,false,""
EHAM,EGBB,2966,B738,2019-01-01T08:29:00.000+01:00,20190101_20190131,false,""
EHAM,ESSA,5857,B737,2019-01-01T08:30:51.000+01:00,20190101_20190131,false,""
EHAM,LJLJ,5105,B738,2019-01-01T08:40:34.000+01:00,20190101_20190131,false,""
EHAM,EGLL,2829,B739,2019-01-01T08:48:05.000+01:00,20190101_20190131,false,""
EHAM,LSZM,3298,A320,2019-01-01T08:55:24.000+01:00,20190101_20190131,false,""
EHAM,LIML,5003,B738,2019-01-01T08:57:04.000+01:00,20190101_20190131,false,""
EHAM,LFPO,2665,B738,2019-01-01T09:07:42.000+01:00,20190101_20190131,false,""
EHAM,EDDB,3982,A319,2019-01-01T09:09:01.000+01:00,20190101_20190131,false,""
EHAM,LIMC,5035,B744,2019-01-01T09:10:04.000+01:00,20190101_20190131,false,""
EHAM,EGSH,2065,E75L,2019-01-01T09:14:18.000+01:00,20190101_20190131,false,""
EHEH,LHBP,5242,A321,2019-01-01T09:16:01.000+01:00,20190101_20190131,false,""
EHAM,EDDV,2333,E75L,2019-01-01T09:16:34.000+01:00,20190101_20190131,false,""
EHEH,EVRA,6544,A320,2019-01-01T09:25:51.000+01:00,20190101_20190131,false,""
EHAM,ESGG,4447,E75L,2019-01-01T09:27:11.000+01:00,20190101_20190131,false,""
EHAM,LROP,8269,B737,2019-01-01T09:29:52.000+01:00,20190101_20190131,false,""
EHAM,LIMA,4391,E75L,2019-01-01T09:30:40.000+01:00,20190101_20190131,false,""
EHAM,LIMC,4728,A319,2019-01-01T09:32:04.000+01:00,20190101_20190131,false,""
EHAM,LFRS,4111,A319,2019-01-01T09:32:12.000+01:00,20190101_20190131,false,""
EHAM,LSGG,4064,B737,2019-01-01T09:34:12.000+01:00,20190101_20190131,false,""
EHAM,EICK,5459,A320,2019-01-01T09:34:49.000+01:00,20190101_20190131,false,""
EHAM,EDDM,3532,B738,2019-01-01T09:36:34.000+01:00,20190101_20190131,false,""
EHAM,LFML,5098,B737,2019-01-01T09:38:04.000+01:00,20190101_20190131,false,""
EHAM,EGSS,2625,A319,2019-01-01T09:39:06.000+01:00,20190101_20190131,false,""
EHAM,EGFF,3448,E75L,2019-01-01T09:45:20.000+01:00,20190101_20190131,false,""
EHAM,EDDW,2074,E190,2019-01-01T09:46:48.000+01:00,20190101_20190131,false,""
EHAM,LEMD,7129,B738,2019-01-01T09:47:00.000+01:00,20190101_20190131,false,""
EHAM,EGCC,3647,B738,2019-01-01T09:48:30.000+01:00,20190101_20190131,false,""
EHEH,EYVI,6311,A320,2019-01-01T09:49:14.000+01:00,20190101_20190131,false,""
EHEH,EPKT,5550,A321,2019-01-01T09:51:18.000+01:00,20190101_20190131,false,""
EHAM,LIPZ,4528,B738,2019-01-01T09:52:31.000+01:00,20190101_20190131,false,""
EHAM,LFPG,2441,A321,2019-01-01T09:53:13.000+01:00,20190101_20190131,false,""
EHAM,LSZH,3861,A320,2019-01-01T10:01:33.000+01:00,20190101_20190131,false,""
EHAM,EFHK,7358,B738,2019-01-01T10:05:33.000+01:00,20190101_20190131,false,""
EHAM,EKCH,4225,B738,2019-01-01T10:06:34.000+01:00,20190101_20190131,false,""
EHAM,EDDT,3623,B739,2019-01-01T10:07:42.000+01:00,20190101_20190131,false,""
EHAM,EKYT,4013,B737,2019-01-01T10:08:33.000+01:00,20190101_20190131,false,""
EHAM,EGLL,3458,A320,2019-01-01T10:09:12.000+01:00,20190101_20190131,false,""
EHAM,EPWA,5191,B737,2019-01-01T10:09:55.000+01:00,20190101_20190131,false,""
EHAM,EDDS,3049,E75L,2019-01-01T10:11:37.000+01:00,20190101_20190131,false,""
EHAM,LFBD,4793,B737,2019-01-01T10:13:16.000+01:00,20190101_20190131,false,""
EHAM,EDDN,3168,B737,2019-01-01T10:15:01.000+01:00,20190101_20190131,false,""
EHAM,LELL,5530,B737,2019-01-01T10:17:09.000+01:00,20190101_20190131,false,""
EHAM,LHTM,5179,B738,2019-01-01T10:18:40.000+01:00,20190101_20190131,false,""
EHAM,EGGP,4077,A320,2019-01-01T10:27:30.000+01:00,20190101_20190131,false,""
EHAM,EGLL,3143,B738,2019-01-01T10:28:04.000+01:00,20190101_20190131,false,""
EHAM,EVRA,7042,BCS3,2019-01-01T10:28:37.000+01:00,20190101_20190131,false,""
EHAM,LELL,5778,A321,2019-01-01T10:30:10.000+01:00,20190101_20190131,false,""
EHAM,LFPG,2507,A320,2019-01-01T10:38:37.000+01:00,20190101_20190131,false,""
EHAM,EYVI,6791,B735,2019-01-01T10:43:30.000+01:00,20190101_20190131,false,""
EHAM,ESSA,6264,B738,2019-01-01T10:46:03.000+01:00,20190101_20190131,false,""
EHAM,LSZH,3770,B738,2019-01-01T10:46:36.000+01:00,20190101_20190131,false,""
EHAM,EGKK,3521,A320,2019-01-01T11:06:00.000+01:00,20190101_20190131,false,""
EHAM,EDDM,4156,A319,2019-01-01T11:13:42.000+01:00,20190101_20190131,false,""
EHAM,LKPR,4106,A320,2019-01-01T11:17:14.000+01:00,20190101_20190131,false,""
EHAM,ESSA,6568,B736,2019-01-01T11:18:31.000+01:00,20190101_20190131,false,""
EHAM,LEMD,7940,A332,2019-01-01T11:33:01.000+01:00,20190101_20190131,false,""
EHAM,BIKF,12634,A321,2019-01-01T11:39:08.000+01:00,20190101_20190131,false,""
EHAM,LDZA,5031,A320,2019-01-01T11:48:53.000+01:00,20190101_20190131,false,""
EHAM,LIMJ,4513,E75L,2019-01-01T11:50:04.000+01:00,20190101_20190131,false,""
EHAM,LOWG,4636,E75L,2019-01-01T11:55:35.000+01:00,20190101_20190131,false,""
EHAM,EGLL,3402,B738,2019-01-01T11:58:02.000+01:00,20190101_20190131,false,""
EHAM,LFLL,4048,B738,2019-01-01T12:01:31.000+01:00,20190101_20190131,false,""
EHAM,EGKK,3086,A319,2019-01-01T12:02:30.000+01:00,20190101_20190131,false,""
EHAM,LIMC,4164,E190,2019-01-01T12:05:01.000+01:00,20190101_20190131,false,""
EHAM,LOWI,3888,B738,2019-01-01T12:09:30.000+01:00,20190101_20190131,false,""
