origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHAM,EGSS,90959,B77L,2019-10-31T10:58:52.000+01:00,20191101_20191130,false,""
EHAM,LPFR,9938,B738,2019-11-01T06:36:19.000+01:00,20191101_20191130,false,""
EHAM,LSZH,4041,B738,2019-11-01T06:55:07.000+01:00,20191101_20191130,false,""
EHAM,EDDL,1474,E75L,2019-11-01T06:56:53.000+01:00,20191101_20191130,false,""
EHRD,LIRF,6127,B738,2019-11-01T07:04:59.000+01:00,20191101_20191130,false,""
EHAM,EFHK,7248,E190,2019-11-01T07:06:07.000+01:00,20191101_20191130,false,""
EHEH,LEBL,5854,B738,2019-11-01T07:07:55.000+01:00,20191101_20191130,false,""
EHAM,LIRF,5991,B738,2019-11-01T07:08:22.000+01:00,20191101_20191130,false,""
EHAM,LSZH,3890,A320,2019-11-01T07:12:33.000+01:00,20191101_20191130,false,""
EHAM,EGSH,2090,B738,2019-11-01T07:16:24.000+01:00,20191101_20191130,false,""
EHAM,LGAV,9875,B738,2019-11-01T07:18:22.000+01:00,20191101_20191130,false,""
EHAM,LSGG,3629,B737,2019-11-01T07:21:57.000+01:00,20191101_20191130,false,""
EHAM,EDDM,3257,A320,2019-11-01T07:24:51.000+01:00,20191101_20191130,false,""
EHAM,LIML,4370,A319,2019-11-01T07:26:05.000+01:00,20191101_20191130,false,""
EHAM,LOWW,4945,E195,2019-11-01T07:27:34.000+01:00,20191101_20191130,false,""
EHAM,EKCH,3284,A321,2019-11-01T07:29:45.000+01:00,20191101_20191130,false,""
EHAM,LIRP,4970,B738,2019-11-01T07:32:26.000+01:00,20191101_20191130,false,""
EHAM,LEIB,7407,B738,2019-11-01T07:33:15.000+01:00,20191101_20191130,false,""
EHAM,LEBL,5888,B738,2019-11-01T07:35:34.000+01:00,20191101_20191130,false,""
EHRD,LEMG,9112,B737,2019-11-01T07:36:26.000+01:00,20191101_20191130,false,""
EHAM,EGLL,3201,B738,2019-11-01T07:44:08.000+01:00,20191101_20191130,false,""
EHAM,LEMD,7672,B738,2019-11-01T07:46:27.000+01:00,20191101_20191130,false,""
EHAM,EDDF,2961,A20N,2019-11-01T07:48:24.000+01:00,20191101_20191130,false,""
EHEH,EKCH,3821,B738,2019-11-01T07:48:34.000+01:00,20191101_20191130,false,""
EHAM,LFLL,4138,E75L,2019-11-01T07:50:55.000+01:00,20191101_20191130,false,""
EHEH,LEMU,7324,B738,2019-11-01T07:54:15.000+01:00,20191101_20191130,false,""
EHAM,EDDM,3260,B738,2019-11-01T07:56:27.000+01:00,20191101_20191130,false,""
EHAM,LPAR,9327,A320,2019-11-01T08:05:27.000+01:00,20191101_20191130,false,""
EHAM,LEMD,7310,A320,2019-11-01T08:09:38.000+01:00,20191101_20191130,false,""
EHAM,EDDS,3035,E75L,2019-11-01T08:10:51.000+01:00,20191101_20191130,false,""
EHAM,LFPG,2575,B738,2019-11-01T08:12:33.000+01:00,20191101_20191130,false,""
