origin,destination,time_difference,typecode,firstseen,filename,is_during_covid,lockdown_name
EHEH,LEAL,7329,B738,2020-11-01T07:01:48.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHRD,LPFR,9075,B738,2020-11-01T07:03:54.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EGLL,2636,A319,2020-11-01T07:29:18.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHRD,LEMG,8653,B737,2020-11-01T07:34:53.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EGSS,98538,B77L,2020-11-01T07:36:52.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EKCH,3432,E75L,2020-11-01T07:54:11.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EDDT,3409,E75L,2020-11-01T08:07:01.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,LFPG,2595,B738,2020-11-01T08:15:27.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,LIMC,4172,B737,2020-11-01T09:19:52.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EGSH,2028,E75L,2020-11-01T09:20:37.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,LPPR,8030,B737,2020-11-01T09:27:56.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,LROP,8284,B737,2020-11-01T09:29:06.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,LSGG,3598,B737,2020-11-01T09:32:54.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EDDM,3760,E75L,2020-11-01T09:37:01.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,LIMA,4312,E75L,2020-11-01T09:39:06.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
EHAM,EDDT,3144,B737,2020-11-01T09:39:49.000+01:00,20201101_20201130,true,Gedeeltelijke lockdown:
