origin,destination,year(firstseen),month(firstseen),count
EHRD,LFME,2022,4,1
EHRD,LDRI,2019,4,2
EHRD,LICP,2019,4,1
EHRD,LEMG,2019,4,31
EHRD,LIRP,2019,4,9
EHRD,LDSP,2019,4,4
EHRD,LSZH,2019,4,1
EHRD,LICJ,2019,4,4
EHRD,LEAL,2019,4,41
EHRD,EGLC,2019,4,58
EHRD,LFDF,2019,4,3
EHRD,LFNL,2019,4,1
EHRD,EGSS,2019,4,1
EHRD,LDPL,2019,4,1
EHRD,LD57,2019,4,1
EHRD,LOWS,2019,4,8
EHRD,LOIR,2019,4,8
EHRD,LFMV,2019,4,1
EHRD,LFIK,2019,4,1
EHRD,LFTW,2019,4,2
EHRD,LDSR,2019,4,5
EHRD,LRBS,2019,4,1
EHRD,LGIR,2019,4,7
EHRD,LGKO,2019,4,7
EHRD,LPFR,2019,4,43
EHRD,LDPV,2019,4,4
EHRD,LEAP,2019,4,2
EHRD,EHGG,2019,4,5
EHRD,LEBL,2019,4,30
EHRD,LPAR,2019,4,12
EHRD,ETSI,2019,4,1
EHRD,LFBE,2019,4,1
EHRD,LIBR,2019,4,8
EHRD,LPPT,2019,4,9
EHRD,LOWI,2019,4,8
EHRD,LGRP,2019,4,2
EHRD,EHAM,2019,4,4
EHRD,LOWW,2019,4,17
EHRD,EBOS,2019,4,1
EHRD,LIRF,2019,4,18
EHRD,LICA,2019,4,1
EHRD,EDDV,2019,4,1
EHRD,EDDM,2019,4,2
EHRD,LILQ,2019,4,2
EHRD,LEGE,2019,4,2
EHRD,EHGG,2019,6,5
EHRD,LOWW,2019,6,14
EHRD,LFBX,2019,6,4
EHRD,LDSB,2019,6,1
EHRD,LFNU,2019,6,1
EHRD,LILQ,2019,6,5
EHRD,LGKO,2019,6,8
EHRD,LFTW,2019,6,1
EHRD,LFNL,2019,6,4
EHRD,LDSR,2019,6,8
EHRD,LDSH,2019,6,1
EHRD,LIRU,2019,6,1
EHRD,LEGE,2019,6,1
EHRD,LIRF,2019,6,13
EHRD,EBMB,2019,6,1
EHRD,LDPV,2019,6,7
EHRD,LESB,2019,6,1
EHRD,LPPT,2019,6,13
EHRD,LGRP,2019,6,9
EHRD,LEBL,2019,6,28
EHRD,LFCM,2019,6,2
EHRD,LICJ,2019,6,6
EHRD,EGLC,2019,6,63
EHRD,LDPL,2019,6,7
EHRD,EHAM,2019,6,8
EHRD,LDRI,2019,6,2
EHRD,BIKF,2019,6,1
EHRD,LEAL,2019,6,37
EHRD,LPAR,2019,6,5
EHRD,LGIR,2019,6,9
EHRD,LEMG,2019,6,17
EHRD,LICA,2019,6,6
EHRD,LIBR,2019,6,8
EHRD,LEAP,2019,6,9
EHRD,LIRP,2019,6,8
EHRD,LFDF,2019,6,1
