origin,destination,count
EHAM,LEGE,77
EHAM,LGMK,122
EHEH,LMML,94
EHAM,LGKO,896
EHRD,EGMT,1
EHEH,EVEA,7
EHAM,ENGM,5061
EHEH,LPFR,1932
EHAM,LGKN,342
EHAM,EDDL,3648
EHRD,LICP,31
EHAM,EBLG,160
EHTW,EGTE,2
EHEH,EPRZ,14
EHAM,LFKP,79
EHAM,EGSJ,72
EHEH,LGAV,511
EHAM,LFBD,2166
EHEH,EPPO,195
EHRD,LDPL,171
EHAM,EGGP,1275
EHAM,EGLL,12512
EHAM,LFMY,445
EHAM,LD57,6
EHEH,LIME,423
EHAM,LEMH,113
EHAM,LFGC,68
EHRD,LEPA,326
EHAM,LFHC,192
EHAM,LEIB,1845
EHAM,EGKR,1169
EHRD,LFTZ,6
EHRD,EDDB,7
EHAM,LROP,3529
EHAM,EDDV,2623
EHEH,EVRA,308
EHAM,LFDY,46
EHAM,LFFI,442
EHEH,EPWR,234
EHAM,LGAV,2550
EHAM,LICJ,13
EHAM,LIRF,7277
EHAM,EDDB,3057
EHEH,LPAR,262
EHAM,LERS,6
EHAM,ENBR,2097
EHAM,LDZE,137
EHAM,EPRJ,2
EHAM,EGCC,6294
EHAM,ENVA,452
EHEH,EPMR,99
EHAM,LYBE,975
EHAM,EHEH,267
EHRD,LEBL,672
EHEH,EPWA,379
EHAM,ESSP,1
EHRD,LPFR,1421
EHEH,EPLE,138
EHRD,EBBR,14
EHAM,ESSL,25
EHRD,EKCH,7
EHEH,LEBB,3
EHAM,LEBB,145
EHAM,LEPA,1445
EHTW,LIRQ,1
EHAM,EGGD,2949
EHAM,EPPO,286
EHAM,LIPE,1619
EHBK,EHAM,110
EHAM,LE84,29
EHRD,LZIB,13
EHAM,LERM,12
EHEH,EDDH,3
EHEH,EBCI,10
EHEH,LGRD,5
EHBK,LMML,53
EHAM,EGPG,539
EHAM,LFPB,40
EHAM,LIAT,123
EHAM,LZIB,11
EHAM,LPPS,9
EHAM,EGPK,29
EHRD,EGCC,5
EHEH,EGSU,1
EHRD,EGGP,1
EHRD,LFML,3
EHEH,LGMG,2
EHBK,LROP,52
EHRD,LFTF,3
EHRD,LELL,57
EHEH,LIRE,1
EHEH,EPWS,19
EHAM,EDTB,2
EHAM,EPWS,7
EHRD,EHAM,107
EHAM,LGRD,19
EHAM,EGQK,19
EHAM,LFMF,9
EHAM,LIED,48
EHAM,LFOK,9
EHAM,LGKL,10
EHRD,LFBX,77
EHAM,LPPD,21
EHEH,EBBR,24
EHRD,LFIB,58
EHAM,EGDX,53
EHAM,LIEO,246
EHRD,LIML,2
EHAM,EDEF,3
EHAM,LGPZ,8
EHAM,LDZB,1
EHBK,EDDN,1
EHAM,LGZA,25
EHAM,LELL,772
EHRD,LATI,10
EHEH,EPLB,24
EHEH,LBWN,35
EHAM,ETSI,6
EHRD,EVRA,1
EHAM,EDLM,3
EHRD,LOWS,435
EHAM,LEAP,88
EHAM,LDZA,1736
EHAM,LFLC,1
EHRD,LD57,27
EHEH,LIPM,40
EHAM,LDZI,8
EHBK,ENGM,188
EHEH,LGZA,4
EHAM,EITM,16
EHAM,LGTT,6
EHAM,EDHK,2
EHRD,LE84,5
EHLE,EGLF,1
EHAM,ETNG,2
EHAM,LFRI,3
EHBK,EPKK,2
EHGG,LEBL,3
EHGG,LSZM,1
EHAM,LFNE,11
EHGG,EHAM,115
EHAM,LGSA,123
EHAM,LEAX,12
EHAM,EGWU,20
EHTW,EHBK,1
