origin,destination,count
EHTW,EHTE,1
EHBK,EPWA,15
EHEH,ENTO,1
EHAM,ESSH,1
EHAM,ESGV,2
EHAM,LFHH,1
EHAM,LSZB,3
EHBK,EDDE,1
EHAM,EDVE,1
EHBK,EGCN,1
EHBK,LFKP,4
EHRD,LRCK,2
EHAM,EGHH,2
EHEH,EBTY,1
EHAM,LHKK,2
EHBK,EKRK,1
EHGG,EGSS,3
EHEH,EKKS,1
EHAM,EKKS,1
EHEH,LIMJ,1
EHEH,LIRM,2
EHAM,EKRA,2
EHAM,EPCH,1
EHRD,LFGC,1
EHBK,ESSA,3
EHEH,LKTB,1
EHEH,LFTH,2
EHAM,LFTH,2
EHRD,LGAV,1
EHBK,EHWO,1
EHEH,LJMB,1
EHEH,LEGT,2
EHBK,LFJL,1
EHEH,ENVA,1
EHGG,EHWO,1
EHEH,LFFZ,2
EHEH,LFQK,1
EHBK,LFAC,1
EHEH,LFSW,1
EHAM,LFSH,1
EHAM,LSGL,1
EHAM,LFTF,1
EHBK,LGKY,2
EHBK,LKPD,2
EHEH,LB35,1
EHAM,LFLK,2
EHAM,EICN,1
EHEH,ENGM,1
EHAM,LBHT,1
EHEH,EFHK,1
EHBK,LIRF,3
EHBK,LFOK,1
EHAM,LFBZ,1
EHBK,LFHC,3
EHBK,EGBB,20
EHAM,LFRJ,1
EHAM,LFEB,1
EHBK,LFHI,1
EHBK,LFPO,1
EHAM,LRAR,1
EHRD,EDDK,1
EHAM,EDMA,1
EHEH,LRSB,1
EHAM,LZSV,1
EHAM,LRSB,1
EHBK,ENUL,1
EHBK,EDDG,1
EHBK,LFDT,1
EHEH,EGPG,2
EHAM,EGUL,1
EHRD,LFPG,2
EHBK,LGRD,1
EHEH,EDNY,1
EHEH,LIPX,1
EHEH,LIPF,1
EHRD,LIEA,1
EHBK,EGGP,1
EHAM,LFDT,1
EHEH,EHBK,1
EHEH,EDTB,1
EHEH,EFTP,1
EHEH,LOLW,1
EHBK,LFBD,1
EHAM,LILV,1
EHRD,EGNV,1
EHBK,LOWS,1
EHEH,LZDV,1
EHAM,LIRV,1
EHAM,EPLL,1
EHGG,LEZL,1
EHAM,LFCD,2
EHAM,LFDI,1
EHEH,LPEV,1
EHRD,LIAR,1
EHAM,EGSC,1
EHBK,LIPE,1
EHAM,LIPQ,1
EHAM,EBTY,1
EHEH,LZKZ,1
EHRD,EGKK,1
EHBK,EPBD,1
EHGG,LIRE,1
EHBK,LPBJ,1
EHAM,ESNZ,3
EHAM,ETNL,1
EHGG,ETSI,1
EHAM,EGTK,1
EHAM,EKKA,1
EHRD,EGBB,1
EHEH,EDDR,1
EHEH,LEMO,1
EHAM,EDST,1
EHRD,EGWU,1
EHAM,EGVN,1
EHGG,ESSA,1
EHGG,LKPR,1
