ADEP,ADES,filed_time_difference,AC Type,actual_departure,filename,is_during_covid,delay_departure,delay_arrival
EHAM,LEVC,8374,B738,2021-12-01T05:42:08.000+01:00,2021_12,true,128,14
EHAM,LGAV,10664,B738,2021-12-01T05:45:20.000+01:00,2021_12,true,20,-120
EHAM,ENGM,5793,E190,2021-12-01T05:42:00.000+01:00,2021_12,true,-180,317
EHAM,LEMG,10383,B738,2021-12-01T05:57:13.000+01:00,2021_12,true,433,870
EHAM,LEAL,8683,B737,2021-12-01T05:56:00.000+01:00,2021_12,true,360,675
EHAM,LFPG,3220,B738,2021-12-01T05:54:00.000+01:00,2021_12,true,240,299
EHAM,LKPR,4360,E75L,2021-12-01T05:48:49.000+01:00,2021_12,true,-71,-140
EHAM,LIRF,7427,B738,2021-12-01T05:52:25.000+01:00,2021_12,true,-155,-707
EHAM,ESSA,6558,E75L,2021-12-01T05:54:11.000+01:00,2021_12,true,-49,-228
EHAM,LEBL,6967,A20N,2021-12-01T06:00:11.000+01:00,2021_12,true,11,486
EHAM,LIMC,5982,B748,2021-12-01T06:11:00.000+01:00,2021_12,true,660,-126
EHAM,LPPT,9844,A20N,2021-12-01T05:56:53.000+01:00,2021_12,true,-187,497
EHAM,EPWA,6335,E195,2021-12-01T06:04:21.000+01:00,2021_12,true,-39,-524
EHAM,EGKK,2996,A319,2021-12-01T05:53:06.000+01:00,2021_12,true,-714,-250
EHAM,EGLL,2157,A20N,2021-12-01T05:54:04.000+01:00,2021_12,true,-956,570
EHAM,LIRN,7736,B738,2021-12-01T06:10:21.000+01:00,2021_12,true,21,244
EHAM,LEMD,8522,A320,2021-12-01T06:13:00.000+01:00,2021_12,true,180,347
EHEH,LEIB,8884,B738,2021-12-01T06:07:34.000+01:00,2021_12,true,-446,-1085
EHAM,LEMG,10143,A20N,2021-12-01T06:22:00.000+01:00,2021_12,true,420,536
EHAM,LPFR,10623,A320,2021-12-01T06:14:40.000+01:00,2021_12,true,-320,163
EHAM,EDDM,4491,B744,2021-12-01T06:22:25.000+01:00,2021_12,true,145,510
EHAM,EGLL,2784,B737,2021-12-01T06:18:00.000+01:00,2021_12,true,-120,787
EHAM,LEZL,10054,B738,2021-12-01T06:19:16.000+01:00,2021_12,true,-344,-533
EHAM,LPFR,10828,B738,2021-12-01T06:25:00.000+01:00,2021_12,true,0,-172
EHEH,LPFR,10576,B738,2021-12-01T06:28:00.000+01:00,2021_12,true,-120,-59
EHAM,LSGG,5033,A319,2021-12-01T06:20:00.000+01:00,2021_12,true,-600,-1007
EHAM,EIDW,4899,E190,2021-12-01T06:35:16.000+01:00,2021_12,true,16,136
EHAM,LEMD,8635,E75L,2021-12-01T06:37:06.000+01:00,2021_12,true,-174,623
EHAM,EDDF,5131,A320,2021-12-01T07:05:45.000+01:00,2021_12,true,1545,-160
EHAM,LFLL,4957,E190,2021-12-01T06:41:00.000+01:00,2021_12,true,60,261
EHAM,EDDM,3987,E190,2021-12-01T06:44:25.000+01:00,2021_12,true,-35,570
EHAM,EGSS,3530,A319,2021-12-01T06:54:04.000+01:00,2021_12,true,544,-19
EHAM,LEBL,6985,B738,2021-12-01T06:42:00.000+01:00,2021_12,true,-180,57
EHAM,EKCH,3978,B738,2021-12-01T06:56:00.000+01:00,2021_12,true,360,304
EHAM,EDDS,3701,E75L,2021-12-01T06:58:37.000+01:00,2021_12,true,-83,-21
EHAM,EDDB,3430,B738,2021-12-01T07:12:00.000+01:00,2021_12,true,420,861
EHAM,ESGG,4078,E190,2021-12-01T06:56:10.000+01:00,2021_12,true,-530,155
EHAM,EGPH,4495,E75L,2021-12-01T07:13:00.000+01:00,2021_12,true,180,104
EHAM,LFPG,2536,B738,2021-12-01T07:19:00.000+01:00,2021_12,true,-60,992
EHAM,LEBL,7033,E190,2021-12-01T07:21:00.000+01:00,2021_12,true,60,215
EHAM,EDDH,3376,B737,2021-12-01T07:28:00.000+01:00,2021_12,true,-120,-535
EHAM,EGLL,2798,B737,2021-12-01T07:35:05.000+01:00,2021_12,true,5,1279
EHAM,EKBI,2892,B737,2021-12-01T07:28:00.000+01:00,2021_12,true,-420,-282
EHAM,EDDH,4200,A319,2021-12-01T07:37:20.000+01:00,2021_12,true,-160,-1108
EHAM,EDDF,3044,E190,2021-12-01T07:31:48.000+01:00,2021_12,true,-492,203
